id,name,text,trans
0000000000000,麻央,プロデューサーとカラオケって\n不思議な感じがします。,製作人和卡拉OK感覺有點神秘。
0000000000000,{user},そうですか？,是嗎？
0000000000000,麻央,そうですよ。誘われたときは\nびっくりしました。,是的。被邀請的時候感到驚訝。
0000000000000,麻央,その、今日はただ歌うだけ\nなんですか？,那麼，今天只是唱歌而已嗎？
select,,そのための\n施設です,這是為了那個設施
select,,物足りませんか？,不夠滿足嗎？
select,,証明しましょう,來證明一下吧
0000000000000,麻央,ですよね。,對呢。
0000000000000,麻央,えっと……\n普通に歌っていいんですよね？,那個……可以正常唱歌嗎？
0000000000000,{user},もちろん、好きに歌ってください。,當然，隨意唱吧。
0000000000000,麻央,わかりました。\nじゃあ、そうだなあ……,明白了。那麼，這樣啊……
0000000000000,麻央,そういうわけじゃないですけど、\n遊んでていいのかなって……,不是這個意思，但是，\n可以玩嗎……
0000000000000,{user},明日からまた頑張るための息抜きです。\n思い切り遊んでください。,為了明天再次努力，\n盡情玩吧。
0000000000000,麻央,あらためてそう言われると、\n緊張するというか……,被這麼說，感覺緊張起來了……
0000000000000,{user},ではレッスンも兼ねて、\n曲をリクエストさせて頂き…,那麼，也當作是練習，\n可以請求一首歌嗎…
0000000000000,麻央,思い切り遊びますっ！,我會盡情玩的！
0000000000000,麻央,……え？\nもう入力しちゃったんですか？,……欸？\n已經輸入完了嗎？
0000000000000,{user},…………,…………
0000000000000,麻央,ど、童謡……\nこれが証明ですか。,童謠……\n這就是證明嗎。
0000000000000,麻央,じゃあボクも、\n自由に歌いますね！,那麼我也，\n自由地唱吧！
info,adv_pevent_001_amao_activity_013.txt,,
译者,gpt-3.5-turbo-0125,,
