id,name,text,trans
0000000000000,麻央,んーっ。人がいないと\n静かですねっ。,嗯——。没有人的时候\n真安静啊。
0000000000000,{user},せっかくの休みに学園でランニング……\nいいんですか？,难得的假期还在学园跑步……\n真的好吗？
0000000000000,麻央,もちろん！\n走りたいって言ったじゃないですか。,当然啦！\n你不是说想跑步的吗？
0000000000000,麻央,まだ納得できません？\nじゃあ……そうだな……,还不满意吗？\n那……这样吧……
0000000000000,麻央,プロデューサーも走りましょうよ。\nどっちが速いか勝負です！,制作人也一起跑吧。\n比一比谁跑得快！
select,,やりましょう,来吧
select,,やめて\nおきましょう,还是算了吧
0000000000000,麻央,負けませんよっ！,我不会输的！
0000000000000,{user},運動不足なので、競争したら\n怪我しそうです。,我运动不足，要是比赛\n可能会受伤。
0000000000000,麻央,じゃあ、ゆっくり走りましょうか。,那我们就慢慢跑吧。
0000000000000,麻央,並んで走ると、きっと楽しいですよ。,并排跑的话，一定很有趣的。
info,adv_pevent_001_amao_activity_018-01.txt,,
译者,gpt-4o-2024-05-13,,
