id,name,text,trans
0000000000000,ことね,今日はお休み～♪\nプロデューサぁ～、どこ行きます？,今天休息～♪\n制作人，我们去哪？
0000000000000,{user},藤田さんのねぎらいなので、\nどこでも好きなところへ。,这是为了犒劳藤田小姐，\n去哪都行。
0000000000000,ことね,あたしはぁ、プロデューサーの\n行きたいとこがいいです！,我啊，想去制作人\n想去的地方！
0000000000000,ことね,さ、どこがいいか、\n白状してくださぁいっ♪,来吧，快坦白\n你想去哪吧♪
select,,学園を散歩\nしましょう,在学校散步\n怎么样
select,,公園でのんびり,在公园悠闲地待着
select,,ウィンドウ\nショッピングなど,或者\n随便逛逛街
0000000000000,{user},普段は行かない場所もありますし。,也有些平时不常去的地方。
0000000000000,ことね,……プロデューサー、休みの日に\nそんなことするんですか？,……制作人，休息日\n也会做这种事吗？
0000000000000,{user},授業が休講になったら、たまに。,有时候课程取消了，就会去。
0000000000000,ことね,もっと楽しいことがいいで～すっ。,更有趣的活动更好哦～。
0000000000000,ことね,遊びに行きましょ～よ♪\nね？,我们去玩吧～♪\n好不好？
0000000000000,ことね,プロデューサーって\n静かに過ごしたい人ですか？,制作人是\n喜欢安静的人吗？
0000000000000,{user},そうですね。たまには。,是啊，有时候是这样。
0000000000000,ことね,ふ～ん……\nま、あたしもそれでいいですよ♪,嗯……\n好吧，我也可以接受♪
0000000000000,ことね,なにしてるんですか～♪\n公園、行きましょ～～♡,你在干嘛呢～♪\n去公园吧～～♡
0000000000000,ことね,へぇー、プロデューサーも\nそゆことするんだ～。,哇，制作人也\n会做这种事啊～。
0000000000000,ことね,じゃ、あたしもやりますっ♪,那我也试试♪
0000000000000,{user},ただ見て歩くだけですよ？,只是随便看看走走哦？
0000000000000,ことね,わかってまぁ～す♡\nさぁさぁ、行きましょ♪,我知道啦～♡\n走吧走吧，出发咯♪
info,adv_pevent_001_fktn_activity_003.txt,,
译者,gpt-4o-2024-05-13,,
