id,name,text,trans
0000000000000,ことね,へへへぇ……\nふへぇぇ……,嘻嘻嘻……\n呼呼呼……
0000000000000,{user},どうしたんですか？\nそれは……絵ですか？,怎麼了嗎？\n那個……是畫嗎？
0000000000000,ことね,あ～～～、覗き見ですかぁ～？,啊～～～，偷看嗎～？
0000000000000,ことね,これぇ、ちびどもがあたしを\n描いてくれたんです～～♪,這個，小朋友們畫了\n給我看的～～♪
select,,素敵ですね,太棒了
select,,似てますね,好像很像呢
select,,仲良しですね,關係很好呢
0000000000000,ことね,でしょぉ～～～～～～～ッ♡,是吧～～～～～～～♡
0000000000000,ことね,なにかお返ししてやらなきゃな～って\n思ったんですよぉ。,覺得要回禮一下才行～\n這麼想的呢。
0000000000000,ことね,で、あたし、\n考えたんですけどぉ……,然後呢，\n我考慮了一下……
0000000000000,ことね,やっぱりアイドルのあたしを\n見せてやらなきゃな～って。,果然要展現出偶像的我\n才行呢～。
0000000000000,ことね,ってことでぇ、お願いしますね、\nプロデューサぁ～♪,就是這樣，請你了哦，\n製作人～♪
0000000000000,ことね,わかりますぅ～～？,懂了嗎～～？
0000000000000,ことね,どんなステージ衣装が似合うか\nいろいろ描いてくれたんです。,想著穿什麼樣的舞台服裝\n有畫了很多種。
0000000000000,ことね,これから、ぜんぶぜんぶぜ～んぶ\n着てやりますから！,從現在開始，全部全部全～部\n都會穿著唱歌的！
0000000000000,ことね,だからソロ衣装は、\nこれを参考にしてくださいねっ♪,所以關於個人的服裝，\n請參考這個喔♪
0000000000000,ことね,ずっと応援してくれてるんですよ～。\nあたし、ダメダメだったのに……,一直在支持著我呢～。\n明明我還是個笨蛋……
0000000000000,ことね,だから高等部では、ぜ～～～ったいに\n見せてやるんですッ！,所以在高中部絕對\n會展現出來的！
0000000000000,ことね,あたしがアイドルとして、\nみんなの前で歌うトコロ！,作為偶像的我，\n在大家面前唱歌的地方！
info,adv_pevent_001_fktn_activity_010.txt,,
译者,gpt-3.5-turbo-0125,,
