id,name,text,trans
0000000000000,莉波,{user}くんって、\n甘いもの平気だったよね？,{user}君，你还挺喜欢甜食的，对吧？
0000000000000,{user},ええ、大丈夫ですよ。\nどうかしましたか？,嗯，没问题。\n怎么了吗？
0000000000000,莉波,クッキーを焼いたから、\n差し入れに、と思って持ってきたの。,我烤了些饼干，\n想着给你尝尝。
select,,甘いものが\n欲しかったんです,我想要些\n甜的东西
select,,お店のもの\nみたいですね,看起来像\n店里的产品呢
select,,おすすめは\nどれですか？,你推荐哪一个呢？
0000000000000,莉波,ほんと？　\nよかったぁ～。,真的？\n太好了～。
0000000000000,莉波,はい、どうぞ。\nその……どう、かな？,来，给你。\n那个……怎么样？
0000000000000,{user},今まで食べた中で一番美味いです。,这是我吃过最好吃的饼干。
0000000000000,莉波,えへへ……言い過ぎだよ。\nでも、お口に合ってよかった。,嘿嘿……你太夸张了。\n不过，你喜欢就好。
0000000000000,莉波,ちゃんと自分で作ったよ？\nほら、ちょっと焦げてるし……,我可都是自己做的哦？\n看，这里有点焦了……
0000000000000,莉波,って、そんなの言う必要ないよね。,呃，这种事就不用说了吧。
0000000000000,莉波,一番きれいに焼けてるのは……\nハート型、かな？,烤得最好看的应该是……\n心形的那个？
0000000000000,{user},では、そちらをいただきます。,那我就吃这个吧。
0000000000000,莉波,うんっ、遠慮せずに食べてね。,嗯，别客气，尽管吃吧。
0000000000000,莉波,一番きれいなのを食べてほしいから……\nハート、かな？,我希望你吃最漂亮的那个……\n心形的？
0000000000000,{user},確かに、きれいですね。\n食べるのがもったいない。,确实，很漂亮。\n吃掉它真有点舍不得。
0000000000000,莉波,クッキーなんだから、食べてあげてよ。,饼干就是用来吃的，快吃吧。
0000000000000,莉波,喜んでもらえたら、嬉しいな。,如果你喜欢，我就很开心了。
info,adv_pevent_001_hrnm_activity_006.txt,,
译者,gpt-4o-2024-05-13,,
