id,name,text,trans
0000000000000,咲季,ねえねえ、おかえりなさいって\n言われちゃった！,"嘿嘿，刚刚有人对我说""欢迎回来""！"
0000000000000,{user},そういうコンセプトの\nカフェですから。,因为这是那种主题的\n咖啡店嘛。
0000000000000,咲季,知ってるけど、実際に言われたら\n感動的じゃない？,我知道啊，但真被这么说的时候，\n是不是很感动？
0000000000000,咲季,プロデューサーだって、\nご主人様って言われたら嬉しいでしょ？,"你这个制作人，被叫""主人""的时候\n也会很开心吧？"
select,,嬉しいです,开心
select,,プロデューサーが\nいいです,我喜欢制作人这个称呼
select,,呼んで\nくれませんか？,可以叫我吗？
0000000000000,咲季,ほら！\n人のこと言えないじゃない！,看吧！\n你也一样嘛！
0000000000000,咲季,こういうときは、\n大いに楽しむのが礼儀ってものよ！,这种时候，就应该尽情享受才是礼貌！
0000000000000,{user},確かに。\n恥ずかしがってはいけませんね。,确实。\n不能害羞。
0000000000000,咲季,そう！　だから……\nオムライスを頼むわっ！,对！所以……\n我要点蛋包饭！
0000000000000,咲季,あのねえ、メイドカフェに来てまで……,哎，跑到女仆咖啡店来……
0000000000000,咲季,ん？\nねえ……あなた。,嗯？\n喂……你啊。
0000000000000,咲季,わたしにプロデューサーって呼ばれて、\nいつも喜んでたの？,你是不是每次被我叫制作人\n都很开心？
0000000000000,咲季,えっ？\nなんでわたしが……,啊？\n为什么是我……
0000000000000,{user},お願いします。,拜托了。
0000000000000,咲季,う……お、おかえりなさいませ、\nご主人様……,呃……欢、欢迎回来，\n主人……
0000000000000,咲季,って、言わせるならお金払いなさい！,让人说这些你得掏钱！
info,adv_pevent_001_hski_activity_015.txt,,
译者,gpt-4o-2024-05-13,,
