id,name,text,trans
0000000000000,咲季,ねえ、さっきお店で何もらったの？,喂，你刚才在店里拿到什么了？
0000000000000,{user},福引の補助券です。\nそこでやってるみたいですね。,是抽奖的辅助券。\n好像就在那边进行。
0000000000000,咲季,ちょうどいいじゃない！\nやりましょっ！,正好！\n我们去试试吧！
0000000000000,咲季,あなたとわたしに、運が備わってるか\n見ておかないとね！,得看看你和我有没有好运气\n对吧！
0000000000000,{user},運、ですか。,好运气，是吗。
0000000000000,咲季,そうよ！　欲しい物を引き寄せる運！,对啊！吸引想要的东西的运气！
select,,試してみますか,试试看吗
select,,やめて\nおきましょう,算了吧\n还是别了
0000000000000,咲季,気合い入れて引いてよねっ！,一定要全力去抽啊！
0000000000000,{user},勝負は時の運です。\n今日じゃない。,抽奖靠的是运气。\n今天不行。
0000000000000,咲季,引けそうにないってこと？\nむむむ……,就是说抽不中吗？\n嗯嗯……
0000000000000,咲季,じゃあまた別の日ね。\n期間中に絶対来るわよ！,那我们换天再来吧。\n期间内我肯定会来的！
info,adv_pevent_001_hski_activity_017-01.txt,,
译者,gpt-4o-2024-05-13,,
