id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,今天考試即將到來，\n將自習時間用在課堂上是個好主意。
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,有製作人在的話，\n就要諮詢他做決定。
0000000000000,咲季,……なるほど。だからあなたが\nここにいるわけね。,原來如此。所以你在這裡啊。
0000000000000,咲季,わたしはなんでもいいけど、\nなにを重点的にすればいい？,我什麼都可以，\n應該專注在哪裡呢？
0000000000000,{user},（さて、今日のレッスンは……）,（嗯，今天的課程是……）
select,,ボーカルレッスン,聲樂課程
select,,ダンスレッスン,舞蹈課程
select,,ビジュアル\nレッスン,視覺美學課程
0000000000000,咲季,ボーカルを鍛えるのね。\nいいじゃない。,要訓練聲樂嗎。\n挺不錯的。
0000000000000,咲季,それじゃ、楽譜を用意するわ。,那麼，我來準備樂譜。
0000000000000,咲季,やった！　体を動かすの、\n好きだものね！,太好了！我喜歡動起來！
0000000000000,咲季,どんな難しいステップでもいいわよ？\nさ、始めましょ♪,不管有多難的舞步都可以啊？\n好，讓我們開始吧♪
0000000000000,咲季,ビジュアルかぁ。\nそうね、悪くないと思うわ。,視覺美學嗎。\n嗯，我覺得不錯。
0000000000000,咲季,じゃあ移動しましょっか。\nなんでもこいだわ！,那我們換個地方吧。\n什麼都可以！
info,adv_pevent_001_hski_school_011.txt,,
译者,gpt-3.5-turbo-0125,,
