id,name,text,trans
0000000000000,佑芽,プロデューサーさんっ！\n海と山ならどっちですかっ！,制作人！\n海和山，你喜欢哪个？
0000000000000,{user},なんの話ですか？,你在说什么？
0000000000000,佑芽,インタビューですっ。\n深く考えずに答えてください。,是采访啦。\n别想太多，直接回答吧。
0000000000000,佑芽,さあ、どっちが好きですかっ！？,来吧，你更喜欢哪个？
select,,山です,山
select,,海です,海
select,,佑芽さんと\n同じです,和佑芽\n一样
0000000000000,佑芽,山っ！？\nうぐぐぐぐ～っ……,山！？\n呜呜呜呜～……
0000000000000,{user},なぜ悔しがるんですか？,为什么这么不甘心？
0000000000000,佑芽,どっちが多いか、お姉ちゃんと\n勝負してるんです。,我和姐姐在比谁选的人多。
0000000000000,{user},（そんなことで勝負を……）,（竟然为这种事比赛……）
0000000000000,佑芽,ホントですかっ？,真的吗？
0000000000000,佑芽,にへへへ～♪\nそうですよね、海ですよねっ。,嘿嘿嘿～♪\n没错吧，是海对不对。
0000000000000,佑芽,ご協力、\nありがとうございました～っ！,谢谢你的\n配合～！
0000000000000,{user},（結局、なんのアンケート\n　だったんだ……？）,（到底是什么调查\n　啊……？）
0000000000000,佑芽,あたしと同じ！\n……ってことは？,和我一样！\n……也就是说？
0000000000000,佑芽,海！　海ですっ！\nやりーっ！,海！是海！\n太好了！
0000000000000,佑芽,さすがプロデューサーさんですっ！,不愧是制作人！
0000000000000,佑芽,あたしの好きな方、\n知ってたんですね！,你知道我喜欢哪个，\n对吧！
info,adv_pevent_001_hume_activity_010.txt,,
译者,gpt-4o-2024-05-13,,
