id,name,text,trans
0000000000000,佑芽,プロデューサーさんと\nカラオケだ！,製作人，我們去唱卡拉OK吧！
0000000000000,{user},そんなに意気込む必要は\nありませんよ。,沒必要那麼有幹勁啦。
0000000000000,佑芽,だって気分はオーディションですよ！\n審査される気分です！,但我現在的心情就像參加試鏡一樣！感覺就像正在被審查一樣！
0000000000000,{user},休日の息抜きですから、\nリラックスしてください。,這只是個休閒的假日活動，請放輕鬆。
0000000000000,佑芽,本当ですか？\nじゃあ……,真的嗎？那麼……
0000000000000,佑芽,まずプロデューサーさんから、\n1曲お願いしますっ！,製作人請先唱一首歌給我聽吧！
select,,わかりました,我知道了。
select,,それは……,這個……
0000000000000,佑芽,なんだかプロデューサーさんの\n歌を聴くのも、緊張しますね……！,聽製作人唱歌，感覺也很緊張呢……！
0000000000000,佑芽,あーっ！\nやっぱり審査だ！,啊—！感覺好像還是在受審查一樣！
0000000000000,{user},そういうわけでは……,並不是那樣的意思……
0000000000000,佑芽,じゃあどういうわけなんですかっ！,那究竟是什麼意思呢！
0000000000000,佑芽,それを聞かないと、\nリラックスできませんよーっ！,如果不告訴我，我就無法放鬆啦！
info,adv_pevent_001_hume_activity_018-01.txt,,
译者,gpt-3.5-turbo-0125,,
