id,name,text,trans
0000000000000,あさり先生,アイドルが取り組むトレーニングにも、\n様々な科学的裏付けがあります。,偶像进行的训练，也有各种科学依据。
0000000000000,あさり先生,身体を作るために、\n科学の知識はとても有用ですよ。,为了锻炼身体，科学知识非常有用哦。
0000000000000,あさり先生,科学技術の発展で、有害だったことが\n判明したトレーニングもあります。,由于科学技术的发展，有些训练被发现是有害的。
0000000000000,あさり先生,さて、今は行われていないその\nトレーニング、なにかわかりますか？,那么，现在已经不再进行的那种训练，你知道是什么吗？
select,,うさぎ跳び,兔子跳
select,,毎日筋トレ,每天进行肌肉训练
select,,運動中に水を飲む,运动中喝水
0000000000000,あさり先生,正解です！　腰を落とし、\nうさぎのように跳ぶあれですね。,正确！就是那个蹲下然后像兔子一样跳的训练。
0000000000000,あさり先生,トレーニングの意味がないどころか、\n故障する可能性も高いんです。,这种训练不仅没有意义，还有很高的受伤风险。
0000000000000,あさり先生,この定説が広まってから、うさぎ跳びが\n原因と思われる故障は姿を消しました。,自从这个定论普及后，因兔子跳导致的受伤就消失了。
0000000000000,あさり先生,先生も経験はありませんけど、\nきつそうですよねぇ、あれ……,虽然老师没有亲身经历过，但看起来很辛苦呢……
0000000000000,あさり先生,正確には、毎日「同じ部位」の\nトレーニングは効果が薄れる、ですね。,准确地说，每天锻炼“同一部位”效果会减弱。
0000000000000,あさり先生,筋力トレは、鍛えた部分の回復を\n待ってから行うようにしましょう。,肌肉训练要等到锻炼部位恢复后再进行。
0000000000000,あさり先生,毎日する場合は、日によって\n部位を変えるのがオススメですね。,如果每天都锻炼，建议每天换不同的部位。
0000000000000,あさり先生,今回は明らかな間違いである\nうさぎ跳びが正解です。,这次明确的错误答案是兔子跳。
0000000000000,あさり先生,うさぎ跳びがなぜ間違いか……\n調べてみてくださいね。,为什么兔子跳是错误的……请你们去查一下吧。
0000000000000,あさり先生,それは科学の発展で\n正しかったとわかったものです。,这是科学发展后被证实正确的。
0000000000000,あさり先生,昔は運動中に水を飲むのが\n禁止されることがありました。,以前曾经禁止在运动中喝水。
0000000000000,あさり先生,バテてしまうから、というのが\n理由とされていましたが……,理由是因为会疲劳，但……
0000000000000,あさり先生,運動中の水分補給が大事なことは、\n今では常識ですよね。,现在大家都知道运动中补水是很重要的常识了。
0000000000000,あさり先生,ちなみに正解はうさぎ跳びでした。\nなぜかは調べてみてください♪,顺便说一下，正确答案是兔子跳。为什么呢，请去查一下吧♪
info,adv_pevent_001_hume_school_007.txt,,
译者,gpt-4o-2024-05-13,,
