id,name,text,trans
0000000000000,千奈,先生、先生っ！,老师，老师！
0000000000000,{user},はい、なんでしょうか。,嗯，怎么了？
0000000000000,千奈,ごきげんようっ！,您好！
select,,実は\n疲れていまして,其实\n我很累
select,,こんにちは,你好
select,,ごきげんよう,您好
0000000000000,{user},ご機嫌はあまりよくないのです。,我现在不太高兴。
0000000000000,千奈,えっ……！\nそ、それは……,诶……！\n那，那是……
0000000000000,{user},冗談です。,开玩笑的。
0000000000000,千奈,……冗談……もうっ！\nびっくりしてしまいましたわっ！,……开玩笑……真是的！\n吓了我一跳！
0000000000000,千奈,ごきげんよう、ですわっ！,您好！
0000000000000,{user},こんにちは。,你好。
0000000000000,千奈,むぅ～～～～～～……,嗯～～～～～～……
0000000000000,千奈,わぁっ！\nごきげんよう、ですわ！,哇！\n您好！
0000000000000,{user},ごきげんよう、です。,您好。
0000000000000,千奈,うふふ～～～～っ♪\nごきげんよう、ですわっ！,呵呵～～～～♪\n您好！
info,adv_pevent_001_kcna_activity_008.txt,,
译者,gpt-4o-2024-05-13,,
