id,name,text,trans
0000000000000,あさり先生,倉本家のお嬢様ということで、\n蝶よ花よと育てられた倉本さん。,作為倉本家千金長大、\n被培育成如花蝶的倉本小姐。
0000000000000,あさり先生,目に入れても痛くない程の溺愛ぶり、\nまさに箱入り娘、深窓の令嬢……,深受寵愛到不會痛的地步，\n真是被寵壞的千金大小姐呢……
0000000000000,あさり先生,と、いわゆる『お嬢様』に関係した\n言い回しはたくさんあります。,就像所謂的『大小姐』相關的用語有很多。
0000000000000,あさり先生,それでは問題です。,那麼，接下來問題來了。
0000000000000,あさり先生,次のうち、『お嬢様』に関係した\n言葉はどれでしょう。,以下哪個和『大小姐』相關的\n詞語呢。
select,,掌中の珠,掌中的明珠
select,,ぼんぼん,ぼんぼん
select,,ますらお,益荒男
0000000000000,あさり先生,正解です！\n詳しいですね！,答對了！\n好詳細呢！
0000000000000,あさり先生,掌中の珠とは文字通り、\n手の中にある高価な石のこと。,掌中的明珠就是字面上的意思，\n指手中拿著的珍貴寶石。
0000000000000,あさり先生,転じて、大事にしている\n大切なものという意味になります。,引申為重要的、珍貴的事物的意思。
0000000000000,あさり先生,プロデューサーにとっての\nアイドルも同じですよ。,對製作人來說，偶像也一樣呢。
0000000000000,あさり先生,掌中の珠のように、大事に、\n大切にしてくださいね。,就像掌中的明珠一樣，請好好珍惜、\n重視她們哦。
0000000000000,あさり先生,惜しい！　正解は掌中の珠でした。\nぼんぼんは主に男性に使われます。,差一點！ 正確答案是掌中的明珠。\nぼんぼん主要用於男性之間。
0000000000000,あさり先生,もともと、男の子のことを『ぼん』と\n呼ぶ地域があります。,原本有些地區將男孩稱為『ぼん』。
0000000000000,あさり先生,そこから転じて、特に良家の男子を\n揶揄して呼ぶようになりました。,後來演變為特別用來嘲笑\n出身良好的男孩。
0000000000000,あさり先生,いい意味で使われない場合もあるので\n注意してくださいね。,有時也會帶有貶義，\n要小心使用哦。
0000000000000,あさり先生,さすがにそれは……\n正解は掌中の珠です。,那個就有點違反了……\n正確答案是掌中的明珠。
0000000000000,あさり先生,念のためですけど、\nますらおは「益荒男」と書きます。,為了確認一下，\n益荒男指的是「益荒男」。
0000000000000,あさり先生,意味は強くて立派な男性のこと。\n一般的に女性には使いませんね。,意思是強壯優秀的男性。\n一般不會用來稱呼女性。
0000000000000,あさり先生,もちろん、喜ぶ人もいると思います。\n逆にお嬢様扱いを嫌がる人もいます。,當然，也會有喜歡的人。\n反之，也有人討厭被當做大小姐。
0000000000000,あさり先生,相手のことをよく考えて、\n失礼のないようにしたいですね。,要好好考慮對方的感受，\n不要失禮才是最重要的。
info,adv_pevent_001_kcna_school_007.txt,,
译者,gpt-3.5-turbo-0125,,
