id,name,text,trans
0000000000000,{user},握手会の練習とは\n初めて聞きましたが……,握手會的練習是什麼？\n第一次聽說呢……
0000000000000,リーリヤ,絶対あがっちゃうので、\nどうしても……すみません。,我一定會緊張，\n實在是……對不起。
0000000000000,{user},謝ることはありません。\nこうしてカラオケにも来ましたし。,不用道歉。\n你也來唱卡拉OK了嘛。
0000000000000,{user},練習なので気を楽に。\nでは、ファン役をやりますね。,這只是練習，放輕鬆點。\n那麼，我來當粉絲角色吧。
0000000000000,リーリヤ,は、はい……。\nお願いします……！,好、好的……。\n拜託了……！
select,,応援してます,我在為你加油
select,,ファンです！,我是你的粉絲！
select,,一言ください！,可以說一句話嗎！
0000000000000,リーリヤ,……あ、あの、\nありがとうございます。,……那、那個，\n謝謝你。
0000000000000,{user},少し緊張してますか？,有點緊張嗎？
0000000000000,リーリヤ,えっと……\nセンパイと握手すると思うと……。,嗯……\n想到要和前輩握手的話……。
0000000000000,{user},（これは特訓が必要だな……）,（這必須要特訓才行啊……）
0000000000000,リーリヤ,ファ、ファン……！？\nわたしなんかに……すみません！,粉、粉絲……！？\n這樣的我……對不起！
0000000000000,{user},……謝ってどうするんですか。\nはい、もう一度。,……道歉有什麼用。\n好了，再來一次。
0000000000000,リーリヤ,すみませ……じゃなくて。\nえっと……,不、不是要道歉。\n嗯……
0000000000000,リーリヤ,お、お待たせしてすみません……！,讓你久等了，對不起……！
0000000000000,{user},（……これはこれで、\n　人気が出そうだ）,（……這樣一來，\n　應該能增加人氣吧）
0000000000000,リーリヤ,一言、ですか……？\nそうですね、えーっと……,要我說一句話嗎……？\n嗯，那個，嗯……
0000000000000,リーリヤ,……お、応援してます。\n頑張ってください……！,……我、我在為你加油。\n加油哦……！
0000000000000,{user},葛城さん、それでは立場が逆です。,葛城小姐，這樣立場就顛倒了。
0000000000000,リーリヤ,あっ……。,啊……。
info,adv_pevent_001_kllj_activity_014.txt,,
译者,gpt-3.5-turbo-0125,,
