id,name,text,trans
0000000000000,リーリヤ,……ゲームセンターって\nこんな所なんですね……。,……遊戲中心是這樣的地方嗎……。
0000000000000,リーリヤ,……あ！\nあれ、クレーンゲームですよね……。,……啊！那個、是抓娃娃機呢……。
0000000000000,リーリヤ,……今度、清夏ちゃんと\nやろうって話してたんです。,……我們下次和清夏一起\n打算玩呢。
0000000000000,リーリヤ,すごい……。\nたくさんありますね……。,好厲害……。\n好多呢……。
select,,やってみますか？,要試試看嗎？
select,,では今日は\nやめましょう。,那今天\n就算了吧。
0000000000000,リーリヤ,えっ……\nいいんですか……？,嗯……\n可以嗎……？
0000000000000,{user},いいも悪いも、\n遊びに来たんですから。,來遊玩，\n無論好壞都可以。
0000000000000,リーリヤ,……じゃあ、\nやってみたいです……！,……那麼，\n我想試試看……！
0000000000000,{user},初めては紫雲さんと\n楽しんでください。,第一次和紫雲一起\n好好享受吧。
0000000000000,リーリヤ,……はい、そうですね。,……嗯，是的呢。
0000000000000,リーリヤ,……うぅ。ここにいると\n誘惑がすごいです……。,……唔。在這裡的話\n誘惑真是太大了……。
0000000000000,リーリヤ,……センパイ、\nクレーンゲームが見えない所……,……學長，\n抓娃娃機在看不見的地方……
0000000000000,リーリヤ,あっちのアイスを、\n食べに行きませんか……？,要去那邊的冰淇淋店，\n一起去嗎……？
info,adv_pevent_001_kllj_activity_017-01.txt,,
译者,gpt-3.5-turbo-0125,,
