id,name,text,trans
0000000000000,あさり先生,葛城さんの出身地、スウェーデン\nについて学びましょう。,讓我們來了解一下葛城小姐的出生地，瑞典吧。
0000000000000,あさり先生,日本に比べて緯度が高い国です。\n北の方は北極圏に含まれるほど。,這個國家的緯度比日本高。\n北部甚至被視為北極圈的一部分。
0000000000000,あさり先生,そんなところでは、日本ではありえない\n現象が起きるんですよ。,在那樣的地方，會發生日本不可能發生的現象。
0000000000000,あさり先生,さて、スウェーデンで起きる\n『極夜』という自然現象。,那麼，在瑞典發生的\n『極夜』這自然現象。
0000000000000,あさり先生,いったいどういうものか、\nわかりますか？,你知道這到底是什麼現象嗎？
select,,昼も\n太陽が昇らない,白天\n太陽也不升起
select,,夜も\n太陽が沈まない,夜晚\n太陽也不落下
select,,S極とN極が\n入れ替わる,南極和北極\n互相交換位置
0000000000000,あさり先生,はい、その通りです！\nすごいですよ～！,對，就是這樣！\n太厲害了～！
0000000000000,あさり先生,地球の軸が太陽に対して傾いている\nことから起きる現象です。,這是因為地球軸傾斜\n相對於太陽的緣故。
0000000000000,あさり先生,極夜は、北極か南極に近づけば\n近づくほど長くなります。,極夜，靠近北極或南極時\n時間會變得更長。
0000000000000,あさり先生,1ヶ月以上も夜のまま……\nなんて、想像できませんよね。,一個月以上都是黑夜……\n想像中無法想像吧。
0000000000000,あさり先生,体験したことがあるか、\n葛城さんに聞いてみては？,有體驗過的嗎？\n可以問問葛城小姐哦？
0000000000000,あさり先生,おしい！　そっちは白夜と言います！,差一點！那叫白夜哦！
0000000000000,あさり先生,『太陽が昇らない』のが極夜。\n『太陽が沈まない』のが白夜。,『太陽也不升起』是極夜。\n『太陽也不落下』是白夜。
0000000000000,あさり先生,他にもスウェーデンには日本との\n違いがたくさんあります。,瑞典和日本有很多\n不同之處。
0000000000000,あさり先生,興味があったら、\n調べてみてはどうでしょう？,如果感興趣的話，\n不妨去查一查呢？
0000000000000,あさり先生,そんなことが起きたら\nみんな大混乱ですよ。,如果發生那種事，\n大家都會混亂的。
0000000000000,あさり先生,正解は『昼も太陽が昇らない』です。,答對了『白天太陽也不升起』。
0000000000000,あさり先生,反対に『夜も太陽が沈まない』ことを\n白夜と言います。,相反的『夜晚太陽也不落下』\n就是白夜。
0000000000000,あさり先生,スウェーデン語だと、\nきれいな言い方があるんですけど……,瑞典語有一個很美麗的說法呢，不過……
0000000000000,あさり先生,忘れちゃいました♪,我忘了♪
0000000000000,あさり先生,葛城さんなら知ってるかも\nしれませんね。,葛城小姐或許知道的呢。
info,adv_pevent_001_kllj_school_010.txt,,
译者,gpt-3.5-turbo-0125,,
