id,name,text,trans
0000000000000,広,……ねえ、プロデューサー。,……那个，制作人。
0000000000000,広,わたしがアイドルになれる\n確率って、どのくらいあると思う？,你觉得我成为偶像的\n几率有多大？
0000000000000,{user},確率……ですか。,几率……吗。
0000000000000,広,厳密じゃなくていいから、\n言ってみて。,不用太严格，\n随便说说就行。
select,,1パーセント,1%
select,,50パーセント,50%
select,,100パーセント,100%
0000000000000,広,1パーセント……,1%……
0000000000000,{user},険しい道です。だからこそ楽しい。\n……そうでしょう？,这是一条艰难的路。也正因为如此才有趣。\n……不是吗？
0000000000000,広,うん。\n……ふふ。,嗯。\n……呵呵。
0000000000000,広,プロデューサーは、はっきり言って\nくれるから、好き。,因为制作人会直言不讳，\n所以我喜欢你。
0000000000000,{user},ようはなれるかなれないか、\nですよ。,归根结底就是能否成功\n的问题。
0000000000000,広,……わたしを傷つけないように\n表現してくれた？,……你是为了不让我受伤，\n才这么说的吗？
0000000000000,広,もっと低いってわかってる。\nはっきり言ってもいいのに。,我知道几率更低。\n你完全可以直说。
0000000000000,広,でもそういう考え方、\n嫌いじゃないよ。,不过这种思维方式，\n我也不讨厌。
0000000000000,{user},究極的には、自称すれば\n今日からアイドルですよ。,极端点说，自称的话\n从今天开始就是偶像。
0000000000000,{user},難しいのは、アイドルとして\n業界で生き残ることです。,难的是，作为偶像\n在这个行业中生存下来。
0000000000000,広,……なるほど。,……原来如此。
0000000000000,広,100パーセントって言ったときは、\nがっかりしたけど。,当你说100%的时候，\n我挺失望的。
0000000000000,広,0パーセントよりも、\nやる気出た。,但比起0%，\n更有干劲了。
info,adv_pevent_001_shro_activity_004.txt,,
译者,gpt-4o-2024-05-13,,
