id,name,text,trans
0000000000000,手毬,もう……どうして息抜きの日に\n宿題なんて。,唉……為什麼偏偏在休息日\n還要做功課。
0000000000000,{user},先生に注意されましたから。\n今日は特別です。,因為老師警告我了。\n今天是特別的。
0000000000000,{user},飲み物はこっちで持つので、\nやり切ってください。,飲料我這邊拿，\n你加油完成吧。
0000000000000,手毬,…………\nそもそも……！,…………\n其實……！
0000000000000,手毬,アイドルに因数分解\nなんて必要ないですよねっ！？,根本不需要在偶像裡\n用因數分解吧！？
select,,知ってて\n損はないですよ,知道了\n不會吃虧的
select,,落第したら\n本末転倒です,落榜了的話\n就本末倒置了
select,,手伝いましょうか,需要我幫忙嗎
0000000000000,手毬,プラスにならなければ意味ないです。,如果沒有正面效果的話就沒有意義。
0000000000000,{user},プラスになるかもしれないときを\n逃さないようにしましょう。,要抓住或許會有正面效果的時機。\n不要錯過。
0000000000000,手毬,ああいえばこういう……,如果這樣的話就……
0000000000000,手毬,……ああ、話してる間に時間がっ。\nしばらく黙っててください……！,……啊，說話的時候時間過得真快。\n請讓我安靜一下……！
0000000000000,手毬,だからアイドル科で学力試験\nそのものが不必要……！,所以在偶像科目裡的學力測驗\n根本是不必要的……！
0000000000000,{user},……大きな声でそんなこと\n言わないでください。,……請不要那麼大聲講這種話。
0000000000000,手毬,はあ。文句言ったって、\nしかたないですね。,嘆氣也沒用，\n沒辦法。
0000000000000,手毬,はあぁ……終わらない……,唉……沒完沒了……
0000000000000,手毬,……悔しいですけど、\n背に腹は変えられません。,……雖然很沒面子，\n但也只能硬著頭皮做下去。
0000000000000,{user},言っておきますけど、\n答えを教えたりはしませんよ。,我提前說好，\n我不會告訴你答案的。
0000000000000,手毬,じゃあなにをっ！？,那你要教什麼呢！？
0000000000000,{user},解法や考え方などを。,解法和思考方式之類的。
0000000000000,手毬,そこまでするなら、\n答えを教えてっ……！,如果你都要那樣了，\n就把答案告訴我吧……！
info,adv_pevent_001_ttmr_activity_020.txt,,
译者,gpt-3.5-turbo-0125,,
