id,name,text,trans
0000000000000,あさり先生,アイドルとプロデューサーは\n運命共同体です！,偶像和制作人是\n命运共同体！
0000000000000,あさり先生,それだけに意思疎通がとっても大事。\n互いを理解できてます？,因此沟通非常重要。\n你们能够互相理解吗？
0000000000000,あさり先生,たとえば、けんかしたときに\nどう謝るか……なんてどうでしょう？,比如，当你们吵架时\n该如何道歉……怎么样？
0000000000000,手毬,それって、正しい謝り方が\nあるってことですか？,那是说，有正确的\n道歉方式吗？
0000000000000,あさり先生,関係性によって変わりますから、\n今のふたりならと考えてみてください♪,根据关系不同会有所变化，\n请考虑现在你们两人的情况♪
0000000000000,手毬,わかりました。まあ、このくらい\nできてもらわないと困ります。,明白了。嗯，要是这种程度\n不行的话可就麻烦了。
select,,面と向かって謝る,当面道歉
select,,手紙を送る,写信道歉
select,,ご飯を奢る,请吃饭
0000000000000,あさり先生,おおっ、正攻法ですねー。\n月村さん、どうですか？,哦，正统的方式呢。\n月村，你觉得怎么样？
0000000000000,手毬,いいんじゃないですか。\nこそこそされるよりよっぽど。,不错啊。\n比偷偷摸摸的好多了。
0000000000000,あさり先生,なるほど。ふたりとも、お互いのことを\n理解できてるみたいですね♪,原来如此。看起来你们\n好像互相理解了呢♪
0000000000000,手毬,その言い方はなんか……,你这么说有点……
0000000000000,手毬,な、なんでもないですっ！,没，没什么！
0000000000000,手毬,手紙……もらったこと\nないですけど。,信……我没\n收到过呢。
0000000000000,{user},（喧嘩したことが\n　あるような言い方だな……）,（听起来像是\n吵过架似的……）
0000000000000,あさり先生,手紙もいいですねー。\n正確に想いを伝えるなら一番です。,写信也不错哦。\n如果要准确传达心意，这是最好的方法。
0000000000000,あさり先生,大丈夫かな？\n月村さんはどう思います？,没问题吗？\n月村，你怎么看？
0000000000000,手毬,さっき言った通り、\nもらったことないので。,正如我刚才说的，\n我没收到过信。
0000000000000,手毬,もらったら考えます。\nよろしくお願いしますね。,收到的话再考虑。\n拜托了。
0000000000000,あさり先生,おおー、財力ですね。,哦，是财力呢。
0000000000000,手毬,ちょっと。私を子供扱いしてませんか？,等一下。你是不是在把我当小孩？
0000000000000,あさり先生,いえいえ、実は仲直りには\nいい方法なんですよ～。,不不，其实这也是\n和解的好方法哦～。
0000000000000,あさり先生,面と向かって話す時間が作れますし、\n食べることで間をもたせられますし。,可以腾出时间当面聊聊，\n吃东西也能缓和气氛。
0000000000000,あさり先生,互いの好きなものなら、それだけで\n空気がよくなりますしね。,如果是彼此喜欢的东西，\n那更能改善气氛。
0000000000000,{user},よければ今日、\n実践してみますか？,如果可以的话，\n今天试试看？
0000000000000,手毬,……そ、そうですね。\n効果を確認しなければいけませんし。,……嗯，好吧。\n得确认一下效果呢。
info,adv_pevent_001_ttmr_school_002.txt,,
译者,gpt-4o-2024-05-13,,
