id,name,text,trans
0000000000000,数学教師,1たす1は2じゃなくて10だ、という\n比喩がある。,“1加1不等于2而是10”这种\n比喻是有的。
0000000000000,数学教師,ふたりで協力することで、何倍もの\n成果を上げられるという意味だな。,意思是两个人合作可以产生\n数倍的成果。
0000000000000,数学教師,ところが数学の世界でも、\n実際に1+1\=10が成り立つことがある。,不过在数学的世界里，\n实际上1+1=10是成立的。
0000000000000,数学教師,月村、1+1\=10が成り立つのは\nどんなときだ？,月村，1+1=10成立是\n在什么情况下？
0000000000000,手毬,（どんなときって……漫画でしか\n　知らないんだけど）,（什么情况……我只在漫画里\n　见过这种说法）
0000000000000,手毬,（プロデューサーが言ってたっけ？\n　思い出せ、思い出せ……）,（是制作人提过的吗？\n　想起来，想起来……）
select,,2進数,二进制
select,,10進数,十进制
select,,円周率,圆周率
0000000000000,数学教師,正解だ。よく知ってたな。,答对了。你知道得挺多嘛。
0000000000000,数学教師,2進数は0と1だけで全ての数字を\n表すから、1の次は10になるんだ。,二进制只用0和1来表示所有数字，\n所以1的下一个就是10。
0000000000000,数学教師,まあ読み方は「いちぜろ」だから、\n「じゅう」とは別の数字なんだが。,不过读法是“いちぜろ”，\n和“十”是不同的数字。
0000000000000,手毬,（……10じゃないってこと！？\nなにこの問題！？）,（……原来不是10！？\n这是什么问题！？）
0000000000000,手毬,（でもプロデューサーのお陰で、\n　間違えずにすんだな……）,（不过多亏了制作人，\n　我没答错……）
0000000000000,数学教師,進数という考えに至ったのは\nいいが、それは普通の数だ。,你想到用进制的概念是不错的，\n但那是普通的数。
0000000000000,数学教師,答えは2進数。\nこれは数字を0と1の2つで表す。,正确答案是二进制。\n这是一种用0和1来表示数字的方式。
0000000000000,数学教師,10進数は0から9までの10個の\n数字を使う、というわけだ。,十进制是用0到9这十个\n数字来表示的。
0000000000000,手毬,（……アイドルの実力には\n　関係ないよね）,（……这和偶像的实力\n　没关系吧）
0000000000000,手毬,（というか、なんで2進数だと\n　そうなるの……？）,（话说，为什么二进制会\n　变成这样……？）
0000000000000,数学教師,……ん？　まあいい。\n答えは2進数だ。,……嗯？　算了。\n正确答案是二进制。
0000000000000,数学教師,2進数は1と0だけで数字を表す。\nだから1の次は10になるんだ。,二进制用1和0来表示数字。\n所以1的下一个就是10。
0000000000000,数学教師,ところで聞き間違いかもしれないが、\n今、なんて答えた？,不过刚才可能是我听错了，\n你刚才回答了什么？
0000000000000,手毬,な……なんでもありません！,没……没什么！
0000000000000,手毬,（な、なんで円周率なんて\n　言っちゃったの……！）,（为什么我会说出圆周率……！）
info,adv_pevent_001_ttmr_school_005.txt,,
译者,gpt-4o-2024-05-13,,
