id,name,text,trans
0000000000000,{user},お疲れ様でした。麻央さんは……,辛苦了。麻央小姐……
0000000000000,{user},……不合格でした。,……没有通过。
0000000000000,麻央,え……,诶……
0000000000000,麻央,う、そ……嘘ですよ、ね……\nプロデューサー。,不、不可能……是骗人的，对吧……\n制作人。
0000000000000,{user},残念ながら……,很遗憾……
0000000000000,麻央,……っ、なにが……\nなにが悪かったんでしょうか……,……到底是……\n到底哪里出了问题……
select,,俺の力不足です,是我的能力不足
select,,無理をしすぎ\nましたね,你太勉强了\n吧
select,,気晴らしに\nいきましょう,去放松\n一下吧
0000000000000,麻央,……な、なにを言ってるんですか！,……你，你在说什么啊！
0000000000000,麻央,キミはボクのためにあんなに\nがんばってくれて――,你为了我那么\n努力——
0000000000000,麻央,なのに、ボクはキミの想いに\n応えることができなくて……,可我却没能回应你的期待……
0000000000000,{user},いいえ。麻央さんは人一倍練習して、\n努力してきました。,不，麻央小姐一直比别人更努力地练习。
0000000000000,{user},ただ、その努力の方向を、\n正しく導くことができなかった。,只是，我没能正确引导你的方向。
0000000000000,{user},プロデューサーの責任です。\n本当に、申し訳ない。,这是制作人的责任。\n真的，非常抱歉。
0000000000000,麻央,……まさか、やめたりしないですよね。\nそんなの、絶対だめですから。,……不会真的放弃吧。\n那样绝对不行。
0000000000000,麻央,――約束しましたよね。,——我们约定过的。
0000000000000,麻央,ボクを、可愛くて、カッコイイ、\n無敵のアイドルにするって！,要把我变成又可爱又帅气、\n无敌的偶像！
0000000000000,{user},……はい。許されるなら、\nもう一度チャンスを――,……好的。如果可以的话，\n请再给我一次机会——
0000000000000,{user},有村麻央さん、あなたをもう一度、\nプロデュースさせてください。,有村麻央小姐，请再让我\n一次培育你。
0000000000000,麻央,もう一度なんて言いません。,不止一次。
0000000000000,麻央,何度だって、ボクをプロデュース\nしてください！,请你一直\n培育我吧！
0000000000000,{user},試験のときの麻央さんは、\nとても本調子には見えませんでした。,考试时的麻央小姐，看起来完全不在状态。
0000000000000,麻央,それは――\n……はい。言い訳はしたくないけど、,那是——\n……嗯，不想找借口，
0000000000000,麻央,たしかに、身体がすごく重たくて、いい\nパフォーマンスが出来ませんでした。,但确实，身体非常沉重，没能\n发挥出好的表现。
0000000000000,{user},試験前のレッスンを頑張りすぎて、\n疲労がたまっていたんですね。,因为考试前的训练太过努力，\n累积了疲劳吧。
0000000000000,{user},ペース配分を調整できなかった、\nプロデューサーの責任です。,没能调整好节奏，\n是制作人的责任。
0000000000000,麻央,いえ、ボクが気負ってしまって、\n自主トレをしすぎたんです。,不，是我自己太过紧张，\n自主训练过多了。
0000000000000,麻央,キミは、ちゃんと休養を\nとるように言ってくれたのに……,你明明有让我好好休息……
0000000000000,{user},……いえ、それも\nプロデューサーの監督責任です。,……不，那也是\n制作人的监督责任。
0000000000000,{user},試験は何度でも挑戦できます。今回の\n反省を糧に、また頑張りましょう。,考试可以多次挑战。这次的反思\n作为养分，再次努力吧。
0000000000000,麻央,はい、もう一度よろしくお願いします、\nプロデューサー！,好的，请再一次指导我，\n制作人！
0000000000000,麻央,ええっ！？　気晴らしって……\nだめですよ、ちゃんと反省しないと！,哎！？放松一下……\n不行，我们要好好反省！
0000000000000,{user},反省会は後日で大丈夫です。ポイントを\nレポートにまとめておきますので。,反省会可以改天再开。我会把重点\n整理成报告的。
0000000000000,麻央,……はあ。,……唉。
0000000000000,{user},結果はたしかに残念でしたが、\n麻央さんは頑張りました。,结果虽然遗憾，但麻央小姐已经很努力了。
0000000000000,{user},試験のことはいったん忘れて、\n甘い物でも食べましょう。,先把考试的事放一放，\n去吃点甜的吧。
0000000000000,麻央,甘い物……,甜的东西……
0000000000000,{user},パフェです。,是圣代。
0000000000000,麻央,パフェ……！,圣代……！
0000000000000,{user},季節限定のジャンボデラックス\nフルーツチョコパフェです。,是季节限定的超豪华\n水果巧克力圣代。
0000000000000,麻央,……～っ、うう……\nボクが甘い物好きなことを知って……,……～呜呜……\n你知道我喜欢甜的……
0000000000000,{user},当然です。プロデューサーですから。,当然了。因为我是制作人嘛。
0000000000000,{user},自分に厳しい姿勢は尊敬しますが、\nはりつめた糸は切れてしまいます。,我很尊敬你对自己的严格要求，但绷得太紧的弦会断的。
0000000000000,麻央,……わかりました。,……明白了。
0000000000000,麻央,パフェを食べて、\nもう一度、挑戦します……！,吃了圣代，\n我会再次挑战的……！
info,adv_pstory_001_amao_after-audition-mid-failure-01.txt,,
译者,gpt-4o-2024-05-13,,
