id,name,text,trans
0000000000000,{user},（麻央さんの様子を見に行こう……）,（去看看麻央的情况吧……）
0000000000000,{user},……あれ？,……咦？
0000000000000,麻央,はあっ、はあっ、はあっ……,哈啊，哈啊，哈啊……
0000000000000,麻央,す、すみません、プロデューサー。\n遅れてしまって……,对、对不起，制作人。\n我来晚了……
0000000000000,{user},後輩のお手伝いですか。,在帮学弟学妹吗？
0000000000000,麻央,はい、ライブの機材が壊れて、\n困っていたので、持ってあげたんです。,是的，演唱会的设备坏了，\n他们很困扰，所以我帮他们拿过来了。
select,,頼りに\nされていますね,大家\n都很依赖你呢
select,,自分の時間は\nとれていますか,你有时间\n照顾自己吗
select,,リーダーの資質が\nありますね,你有\n领导的潜质呢
0000000000000,麻央,……そうですね。上級生だし、\n頼りにされるのは嬉しいです。,……是啊。作为学长，\n被依赖让我很开心。
0000000000000,{user},その気質と麻央さんの人望は、\nアイドルとして得難い資質です。,这种气质和麻央的人气，\n都是作为偶像难得的资质。
0000000000000,{user},ただし、レッスンにはなるべく\n遅れないようにしてください。,不过，请尽量不要\n迟到上课。
0000000000000,麻央,はい、すみませんでした。,好的，对不起。
0000000000000,麻央,遅れてしまった分、\n今日はがんばって取り戻します。,今天我会努力弥补\n迟到的时间。
0000000000000,{user},レッスンで忙しい上に、休みの日も\n後輩の面倒を見ているようですが。,除了忙于课程外，休息日\n也在照顾学弟学妹呢。
0000000000000,麻央,……そうですね。休みの日はだいたい、\n後輩の相談にのったり、,……是啊。基本上休息日，\n我都会听他们的烦恼，
0000000000000,麻央,ダンスレッスンの相手になって\nあげたりしているので……,或者陪他们练习舞蹈……
0000000000000,麻央,あ、でも大丈夫です。\nボクはみんなの王子様だから、,啊，不过没关系。\n我是大家的王子，
0000000000000,麻央,頼られるのは、結構嬉しいっていうか、\n全然苦にならなくて……,被依赖其实挺开心的，\n完全不觉得辛苦……
0000000000000,{user},麻央さん。それでは『幸福の王子』\nになってしまいますよ。,麻央，这样的话你会变成\n“幸福王子”哦。
0000000000000,麻央,……？,……？
0000000000000,{user},今日のレッスンはお休みにしましょう。\nゆっくり休んでください。,今天的课程就休息吧。\n好好休息一下。
0000000000000,麻央,だ、大丈夫ですよ！\nそんなに疲れてないですし……,不，没关系的！\n我没那么累……
0000000000000,{user},だめです。休養日はレッスンとの\n兼ね合いを考えて決めています。,不行。休息日的安排\n是经过深思熟虑的。
0000000000000,{user},なので、しっかり体と心を休めて\nもらわなければ困ります。,所以你必须好好休息\n身心，否则我们会很困扰。
0000000000000,麻央,……わかりました。\n今後は気をつけます。,……知道了。\n今后会注意的。
0000000000000,麻央,リーダー……ですか？,领导……吗？
0000000000000,{user},アイドルデビューすれば、将来的に\nユニットを組むこともあるでしょう。,如果出道成为偶像，将来可能\n会组成组合。
0000000000000,{user},後輩に慕われる麻央さんは、\nユニットリーダーの資質があります。,被学弟学妹仰慕的麻央，\n你有成为组合领导的潜质。
0000000000000,麻央,そ、そうかな……\n自分では、よくわからないけど。,这、这样吗……\n我自己不太清楚。
0000000000000,麻央,ちょっと、興味はありますね。,不过，有点兴趣呢。
0000000000000,{user},なにはともあれ、まずはデビューを\n目指してレッスンに励みましょう。,总之，先以出道为目标，\n努力练习吧。
0000000000000,{user},後輩たちに憧れられるような、\nトップアイドルになってください。,成为学弟学妹们憧憬的\n顶级偶像吧。
0000000000000,麻央,はい、プロデューサー。,好的，制作人。
info,adv_pstory_001_amao_after-step-1-normal-02.txt,,
译者,gpt-4o-2024-05-13,,
