id,name,text,trans
0000000000000,麻央,プロデューサー、\nレッスンを始めましょう！,製作人，\n我們來開始上課吧！
0000000000000,{user},麻央さん──,麻央小姐──
select,,水分補給も\nお忘れなく,補充水分也\n別忘了
select,,今日も\nかわいいですね,今天\n也很可愛呢
0000000000000,麻央,あ、ありがとうございます。,啊，謝謝。
0000000000000,麻央,レッスンに集中しすぎて、\nつい水分補給を忘れちゃうんですよね。,我太專注在課程上，\n常常忘了補充水分呢。
0000000000000,麻央,さあ、午後のレッスンも、\nがんばりますよ！,好了，下午的課程，\n我會加油的！
0000000000000,麻央,かっ……！？,咖……！？
0000000000000,{user},もちろん、かっこよくもあります。,當然，也很帥氣呢。
0000000000000,麻央,か、からかわないでください。,請，請不要取笑我。
0000000000000,麻央,今日はレベルアップしたボクの実力、\n見せてあげますよ。,今天我提升了實力，\n讓你見識一下吧。
info,adv_pstory_001_amao_opening-true-01.txt,,
译者,gpt-3.5-turbo-0125,,
