id,name,text,trans
0000000000000,麻央,おはようございます、\nプロデューサー。,早上好，\n制作人。
0000000000000,麻央,今日もレッスン頑張ります！,今天也要加油练习！
select,,ドリンクをどうぞ,请喝饮料
select,,気合が\n入っていますね,你很有干劲啊\n
0000000000000,麻央,これ、ボクのお気に入りのやつ、\nよくわかりましたね。,这个是我喜欢的，\n你真了解我。
0000000000000,{user},プロデューサーとして、当然です。,作为制作人，这是当然的。
0000000000000,麻央,ふふ、よく見てくれているんですね。,呵呵，你一直在关注我啊。
0000000000000,麻央,ありがとうございます。\nこれを飲んで頑張りますよ！,谢谢你。\n我会喝了这个努力的！
0000000000000,麻央,プロデューサーのおかげで、\n新しいボクが見えてきたんです。,多亏了你，我看到了新的自己。
0000000000000,{user},それはよかったです。,那真是太好了。
0000000000000,麻央,しっかり前に進めている……\nその実感があると全然違いますね。,有了前进的实感……\n感觉完全不同了。
0000000000000,麻央,この調子なら、順調に\nスキルアップできそうです！,照这样下去，应该能顺利\n提升技能！
info,adv_pstory_001_amao_opening-true-02.txt,,
译者,gpt-4o-2024-05-13,,
