id,name,text,trans
0000000000000,あさり先生,ここまでのプロデュース、\nお疲れさま！,這段時間的培育，\n辛苦了！
0000000000000,あさり先生,中間試験前、最後の追い込みですね。,期中考前，是最後的衝刺時刻呢。
0000000000000,あさり先生,ぐっと能力を伸ばせるチャンスなので、\nよく考えてレッスンをしましょう。,這是能夠大幅提升能力的機會，\n好好考慮一下要如何進行課程。
0000000000000,あさり先生,さて、\nなにを重点的にレッスンしますか？\n,那麼，\n要重點培育哪方面呢？\n
select,,ボーカルを\n重点的に,重點培育\n歌唱技巧
select,,ダンスを重点的に,重點培育\n舞蹈技巧
select,,ビジュアルを\n重点的に,重點培育\n視覺表現
0000000000000,あさり先生,歌声を届けることは、想いを\n届けることですからね！,傳達歌聲就是傳達\n心意的方式！
0000000000000,あさり先生,曲に合った素敵なダンスは、\n見る人を魅了しますからね！,與歌曲相配的精彩舞蹈，\n會讓觀眾著迷！
0000000000000,あさり先生,魅せ方を考えることは、良い\nパフォーマンスにつながりますからね！\n,思考如何展現自我，\n將會帶來出色的表現！\n
0000000000000,あさり先生,実のあるレッスンになるよう、\n頑張ってください。,努力讓課程更有內容吧。
0000000000000,あさり先生,応援してますよ！,我會一直支持你的！
info,adv_pstory_001_cmmn_before-hard-mid-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
