id,name,text,trans
0000000000000,あさり先生,ここまでのプロデュース、\nお疲れさま！,到目前为止的培育，\n辛苦了！
0000000000000,あさり先生,中間試験前、最後の追い込みですね。,期中考试前，最后的冲刺呢。
0000000000000,あさり先生,ぐっと能力を伸ばせるチャンスなので、\nよく考えてレッスンをしましょう。,这是一个能大幅提升能力的机会，\n好好考虑后再进行练习吧。
0000000000000,あさり先生,さて、\nなにを重点的にレッスンしますか？\n,那么，\n你要重点练习什么呢？\n
select,,ボーカルを\n重点的に,重点练习\n声乐
select,,ダンスを重点的に,重点练习舞蹈
select,,ビジュアルを\n重点的に,重点练习\n视觉表现
0000000000000,あさり先生,歌声を届けることは、想いを\n届けることですからね！,传递歌声就是传递情感呢！
0000000000000,あさり先生,曲に合った素敵なダンスは、\n見る人を魅了しますからね！,与歌曲相配的精彩舞蹈，\n会吸引观众的目光呢！
0000000000000,あさり先生,魅せ方を考えることは、良い\nパフォーマンスにつながりますからね！\n,思考表现方式，会带来好的\n演出效果呢！\n
0000000000000,あさり先生,実のあるレッスンになるよう、\n頑張ってください。,为了让练习变得有意义，\n加油吧。
0000000000000,あさり先生,応援してますよ！,我在为你加油哦！
info,adv_pstory_001_cmmn_before-hard-mid-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
