id,name,text,trans
0000000000000,{user},（レッスンの様子を見ておこう）,（看看他们的练习情况吧）
0000000000000,ことね,1、2、3、4……,1、2、3、4……
0000000000000,ことね,ここで……フィニッシュ！,然后……结束！
0000000000000,ことね,どーですか！　\nそこで見ているプロデューサー！,怎么样！　\n那边的制作人！
0000000000000,{user},おっと……気付いていたんですね。,哎呀……你注意到了啊。
0000000000000,ことね,ひひ～、そー何度も\n驚かされませんってぇ。,嘻嘻～，这么多次也\n不会再被吓到了啦。
0000000000000,ことね,で、どーですか？　あたしのダンス。,那么，怎么样？ 我的舞蹈。
select,,素晴らしい,非常棒
select,,100点の\nダンスです,100分的\n舞蹈
select,,これなら勝ったも\n同然ですね,这下稳赢了
0000000000000,{user},ダンスの質において、学園内で後れを\n取ることはそうそうないでしょうね。,就舞蹈质量来说，学园里应该\n没有人能比得上你了。
0000000000000,ことね,エヘヘヘヘ…………大絶賛じゃん。,嘿嘿嘿嘿……这是大赞美啊。
0000000000000,{user},事実ですから。しかも、\nまだ伸びしろがありそうです。,这可是事实。而且，\n你还有很大的进步空间。
0000000000000,ことね,ちょ、ちょっとプロデューサー……？\nさすがに褒めすぎじゃないかとぉ……,等、等一下制作人……？\n你是不是夸得有点过头了……
0000000000000,{user},まさに極上の才能。\nトップアイドルの器。,真的是绝佳的才能。\n有成为顶级偶像的潜质。
0000000000000,ことね,いやぁ～、それほどでも\nありますけどぉ～～～～～～～♪,哎呀～，虽然没那么夸张\n但是也差不多啦～～～～～～～♪
0000000000000,ことね,もっかい！　もっかいやるので！　\nそこで見ててくださぁ～いっ♡,再来一次！ 我再跳一次！　\n请看着我哦～♡
0000000000000,ことね,ホントですかっ！？,真的吗！？
0000000000000,{user},ただし……アイドルのステージに\n満点はありません。,不过……偶像的舞台上\n没有满分。
0000000000000,{user},トップアイドルを目指すなら、\n100点で満足してはいけませんよ。,如果要成为顶级偶像，\n就不能满足于100分。
0000000000000,ことね,はいっ！　\nわかりました、プロデューサー！,是！　\n明白了，制作人！
0000000000000,ことね,…………でも。,…………但是。
0000000000000,ことね,あたしのダンスを褒めてもらえて……\nちょー嬉しいです。,你夸我的舞蹈……\n我真的很开心。
0000000000000,ことね,それは喜んでも、いーですよね？,所以我可以高兴一下，对吧？
0000000000000,ことね,もぉ～、プロデューサー？\n楽観的すぎますよぉ！,真是的，制作人？\n你太乐观了！
0000000000000,ことね,確かにあたし、最近調子いいし、\n自信アリですけども。,确实我最近状态很好，\n也很有自信。
0000000000000,ことね,アイドルのライブって、\nダンスだけじゃないんですから！,但偶像的演出，\n不只是舞蹈啊！
0000000000000,ことね,あたしの夢を叶えるには、\nまだまだまだまだ実力不足です！,要实现我的梦想，\n我还远远不够！
0000000000000,{user},（確かな才能、夢への意欲、\nその上……一切の油断がない）,（确实的才能，对梦想的热情，\n而且……毫不放松）
0000000000000,{user},（そんなあなただからこそ……\n負ける気がしないんです）,（正因为是你……\n我相信你一定不会输）
0000000000000,ことね,ちゃんと聞いてますかっ！　\nプロデューサー！！,有在认真听吗！　\n制作人！！
info,adv_pstory_001_fktn_after-step-2-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
