id,name,text,trans
0000000000000,{user},プロデュースも一区切りしましたので、\nここまでの総括をしたいと思います。,培育也告一段落了，\n我想对到目前为止的情况做个总结。
0000000000000,ことね,う～、気が重い～。\n我ながらイマイチだったしナ～。,呜～，感觉好沉重～。\n我觉得自己做得不太好。
0000000000000,{user},まずは藤田さんが一番気になるであろう\nギャラの件ですが……,首先是藤田小姐最关心的\n报酬问题……
0000000000000,ことね,はいっ！　はいはいはぁ～いっ♪\nちょー気になりま～～っす！,是！是是是～！\n超级关心这个～～！
0000000000000,{user},元気な返事でなにより。\n次の振り込みは、このようになります。,你这么有精神真好。\n下次的打款会是这样的。
0000000000000,ことね,おぉぉおぉぉぉ～～～～～～～～～！,哇哦～～～～～～～～～！
0000000000000,ことね,やたっ！　\nけっこー多いじゃないですかぁ！,太好了！\n挺多的嘛！
select,,多いですか？,很多吗？
select,,こんなに\n喜んでくれるとは,你这么\n高兴
0000000000000,ことね,多いですよぉ～～～っ！,很多哦～～～！
0000000000000,{user},アルバイトの日給よりも、\nずっと少ない額では？,比打工的日薪，\n还少很多吧？
0000000000000,ことね,バイトじゃなくてアイドル活動でお金を\nいただけるってコトが重要なんです！,重要的是，\n不是通过打工，而是通过偶像活动赚的钱！
0000000000000,ことね,もちろん十分な額とは言えませんけど、\nすっっ～～～～ごく助かりますっ！,虽然不能说是足够的金额，\n但真的非常有帮助！
0000000000000,ことね,そっれはもう！　\nうはうは～って気分です！,真的！\n感觉超开心！
0000000000000,ことね,やー、いいですねっ！,哇，真好！
0000000000000,ことね,こうやって数字で見せていただけると、\nやる気が無限に湧いてきます！,这样用数字展示出来，\n我的干劲无限增加！
0000000000000,{user},この金額は、藤田さんが着実に\n積み上げてきた成果の結晶です。,这个金额，是藤田小姐一步步\n积累起来的成果结晶。
0000000000000,{user},この調子で、\nどんどん増やしていきましょう。,保持这个势头，\n让它不断增加吧。
0000000000000,ことね,はいッ！,好的！
0000000000000,ことね,藤田ことね！\nやる気ＭＡＸになりましたっ！,藤田琴音！\n干劲满满！
0000000000000,ことね,今後ともお金のためにィ～～～～～！,今后也为了钱～～～～～！
0000000000000,ことね,めちゃガンバります！！,会非常努力的！！
info,adv_pstory_001_fktn_ending-normal-03.txt,,
译者,gpt-4o-2024-05-13,,
