id,name,text,trans
0000000000000,ことね,プロデューサー！\nおっはよーございまぁーっす！,制作人！\n早上好！
0000000000000,{user},おはようございます、藤田さん。,早上好，藤田小姐。
select,,プレゼントです,这是给你的礼物。
select,,藤田ことね強化\n計画を開始します\n,藤田琴音强化\n计划开始\n
0000000000000,ことね,ふぇ？　いいんですかっ！？,诶？真的吗！？
0000000000000,ことね,ありがとうございます。\n大切に使いますね……,谢谢。我会好好珍惜的……
0000000000000,ことね,（うれし～～ッ……プロデューサーに\n貢がれちゃった～♡）\n,（好开心～～……制作人\n给我送礼物了～♡）\n
0000000000000,ことね,いきなりすぎません！？\nや、やりますけどもっ！,太突然了吧！？\n不、不管怎么样我都会做的！
0000000000000,ことね,もうちょっと段取りとかぁ……\nイヤやりますけどね！\n,稍微安排一下也好啊……\n不过我还是会做的！\n
0000000000000,ことね,いまのあたしぃ、やる気満々ですから！\n,现在的我，干劲十足哦！\n
info,adv_pstory_001_fktn_opening-true-02.txt,,
译者,gpt-4o-2024-05-13,,
