id,name,text,trans
0000000000000,{user},お疲れ様でした。姫崎さんは……,辛苦了。姬崎小姐……
0000000000000,{user},合格です。素晴らしい結果でしたね。,合格了。結果真是太棒了。
0000000000000,莉波,……っ！？,……！？
0000000000000,莉波,やったあああああっ！,太好了啊啊啊！
0000000000000,莉波,……こほん。\nは、はしゃぎすぎちゃったね。,……咳咳。\n有、有點太興奮了呢。
select,,もっと\nはしゃぎましょう,讓我們\n再來點興奮吧
select,,もう少しでした,差一點就達成了
select,,素晴らしい\n成績です,成績真是\n棒透了
0000000000000,莉波,えっ、もういいよ。\n恥ずかしいよ……,欸，已經夠了啦。\n好丟臉啊……
0000000000000,莉波,はしゃぐのって、\nあんまりお姉さんっぽくないし……,這樣興奮的話，\n感覺不太像大姐姐呢……
0000000000000,{user},お姉さんっぽくはしゃぎましょう。,就像大姐姐一樣來放鬆一下吧。
0000000000000,莉波,……お姉さんっぽく？,……像大姐姐一樣？
0000000000000,莉波,ふふ、やったわね。\n{user}くんのおかげだよ♪,呵呵，成功了呢。\n多虧了{user}君的幫忙♪
0000000000000,{user},いい感じです。\nこれはぐっときますよ。,感覺很不錯。\n這讓我感到很鼓舞。
0000000000000,莉波,……そ、そう？\nやっぱり、恥ずかしいよ。,……是、是嗎？\n果然還是很丟臉呢。
0000000000000,{user},ライブも今の感じで、\nファンの心をつかみにいきましょう。,在演唱會上，就像現在這樣，\n去抓住粉絲的心吧。
0000000000000,莉波,う、うん、わかったよ！,嗯、嗯、我知道了！
0000000000000,莉波,……そうだね。調子はよかったけど、\nあと少し、届かなかったよ。,……沒錯。雖然表現不錯，\n但還差了一點點。
0000000000000,莉波,はしゃいでる場合じゃないや。\nもっと、がんばらないと。,現在不是興奮的時候。\n還要更努力一點。
0000000000000,{user},十分立派な成績ですが……\n次はトップを狙いましょう。,雖然已經是很出色的成績了……\n下一次我們就去爭取第一名吧。
0000000000000,莉波,うん、次こそは――\nぜったい一番になってみせるよ。,嗯，下次一定――\n絕對要拿第一名。
0000000000000,{user},期待しています。\nそれはそれとして――,我很期待。\n話雖如此——
0000000000000,{user},ライブでは、思いっきり\nはしゃいできてください。,在演唱會上，盡情地\n放鬆自己吧。
0000000000000,莉波,ふふっ、わかったよ。\nせっかくのライブ、楽しんでくるね♪,呵呵，知道了。\n這場演唱會，我會好好享受♪
0000000000000,莉波,えへへ……\nありがとう。,嘿嘿……\n謝謝你。
0000000000000,莉波,でも、もう少しがんばってれば、\n一番だったのかなぁ……,但是，再多努力一點的話，\n是不是就能拿第一了呢……
0000000000000,{user},……十分な結果です。\n一歩一歩、進んでいきましょう。,……已經是不錯的結果了。\n讓我們一步一步地向前走吧。
0000000000000,莉波,ふふっ、{user}くんは優しいね。\n莉波お姉さん、甘えちゃうよ♪,呵呵，{user}君真是溫柔呢。\n莉波姐姐，就依賴你啦♪
0000000000000,{user},もちろん努力は大切ですが、\n自分を適度に甘やかすことも大切です。,當然努力很重要，但是，\n適度犒賞自己也是很重要的。
0000000000000,{user},今回の結果を踏まえて、\n次の目標を立てましょう。,根據這次的結果，\n我們來設定下一個目標吧。
0000000000000,莉波,ふふっ、頼もしいなあ。\nよろしくね、{user}くん。,呵呵，真是值得信賴呢。\n請多多指教，{user}君。
0000000000000,莉波,よーしっ！\nライブ、がんばるよっ！,好ー！\n演唱會，我會加油的！
info,adv_pstory_001_hrnm_after-audition-final-normal-02.txt,,
译者,gpt-3.5-turbo-0125,,
