id,name,text,trans
0000000000000,{user},お疲れ様でした。姫崎さんは……,辛苦了。姬崎小姐……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。这是最好的结果。
0000000000000,莉波,ほ、本当に……！？,真、真的吗……！？
0000000000000,莉波,はあああ……\nよかったあああ……,太好了……\n真是太好了……
0000000000000,莉波,きみが見ててくれたから、\n普段通りにできたんだ。,因为你一直在看着我，\n我才能发挥正常。
0000000000000,莉波,{user}くんのおかげだね。,都是托了你的福呢，{user}。
select,,よく頑張りました,你做得很好
select,,まだ\n気は抜けません,还不能\n掉以轻心
select,,当然の結果です,这是理所当然的结果
0000000000000,莉波,……うん、頑張ったよ。,……嗯，我真的努力了。
0000000000000,莉波,本当に全力を出せたから……\n胸を張ってそう言えるんだ。,我真的是全力以赴了……\n所以我能自信地这么说。
0000000000000,莉波,だから、えっと、その……\nもっと褒めてもいいんだよ？,所以，那个……\n你可以再多夸我一点哦？
0000000000000,{user},ステージで踊るあなたは……\n最高に魅力的でした。,在舞台上跳舞的你……\n真的是最有魅力的。
0000000000000,莉波,えへへ……\nありがとう、{user}くん♪,呵呵……\n谢谢你，{user}♪
0000000000000,{user},合格は喜ばしいですが、\nこれはまだ中間試験です。,虽然合格是值得高兴的，\n但这只是中期考试。
0000000000000,莉波,……う、うん、そうだね。\nちょっと、浮かれてたかも。,……嗯，是的。\n刚才有点得意忘形了。
0000000000000,莉波,ありがとう、{user}くん。,谢谢你，{user}。
0000000000000,莉波,きみがプロデューサーになってくれて、\n本当によかった。,你能成为我的制作人，\n真是太好了。
0000000000000,{user},しっかり兜の緒を締めて、\n次の戦いにのぞみましょう。,我们要打起精神，\n迎接下一场战斗吧。
0000000000000,莉波,うん、そうだね！,嗯，说得对！
0000000000000,莉波,そ、そんなことないよ……,不、不是那样的……
0000000000000,莉波,調子はよかったけど、\nずっと不安だったし……,虽然状态不错，\n但我一直很不安……
0000000000000,{user},あなたが練習に励む姿を、\n毎日見ていたので――,因为我每天都看到\n你努力练习的样子——
0000000000000,{user},合格することはわかっていました。,所以我知道你一定会合格的。
0000000000000,莉波,その割に、試験の前日は\nすっごくそわそわしてたけど？,可你在考试前一天\n还非常焦虑呢？
0000000000000,{user},そ、それは、ですね……,那、那是因为……
0000000000000,莉波,本当は、失敗しないか、\n心配だったでしょ？,其实你很担心我会失败吧？
0000000000000,{user},……はい。\n試験前日は心配で眠れませんでした。,……是的。\n考试前一天我担心得睡不着。
0000000000000,莉波,ふふっ、素直でよろしい。,呵呵，真诚的你真好。
0000000000000,莉波,次はきみに心配を\nかけないようにしたいなぁ。,下次我希望不会\n再让你担心了。
info,adv_pstory_001_hrnm_after-audition-mid-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
