id,name,text,trans
0000000000000,莉波,……いよいよ最終試験だね。,……终于到最后的考试了呢。
0000000000000,{user},緊張していますか？,紧张吗？
0000000000000,莉波,……うん、正直。,……嗯，老实说，有点。
0000000000000,莉波,でも、きみと一緒に頑張ってきたから、\n不安はないよ。,不过，因为一直和你一起努力，\n所以不觉得不安。
0000000000000,{user},はい、信じてください――,是的，请相信我——
select,,これまでの努力を,过去的努力
select,,あなたを\n選んだ俺を,选择了你的我
select,,運命の導きを――,命运的指引——
0000000000000,莉波,うん、そうだね。\nやるだけのことは、やってきたと思う。,嗯，是啊。\n我觉得我已经尽力了。
0000000000000,{user},はい、あなたの努力はずっと、\n見てきました。,是的，你的努力，我一直看在眼里。
0000000000000,{user},あとは、緊張しないように、\n普段通りの実力を出してください。,接下来，只要不紧张，\n发挥出平时的实力就好了。
0000000000000,莉波,……うん、きみが見ていてくれるなら、\nきっと、大丈夫……大丈夫……,……嗯，只要你看着我，\n一定没问题……没问题……
0000000000000,{user},大丈夫です。\n行きましょう――,没问题的。\n我们走吧——
0000000000000,莉波,はいっ、行ってきます！,好，我出发了！
0000000000000,莉波,……{user}くん。\nけっこう自信家だね。,……{user}，\n你还挺自信的嘛。
0000000000000,{user},そ、そんなことは、ないと思いますが、\nただ……,不、不是那样的，\n只是……
0000000000000,{user},あなたをプロデュースしたいと思った、\nその1点には自信があります。,我对想要培育你的这份心情，\n非常有自信。
0000000000000,莉波,……ふ、ふふ……そっかぁ。\nそれじゃあ、期待には応えないとだね。,……呵呵……是吗。\n那我一定不会辜负你的期待。
0000000000000,莉波,緊張が解けたよ、ありがとう。,紧张感消失了，谢谢你。
0000000000000,莉波,きみの目が正しかったこと、\nステージで証明してみせるね！,我要在舞台上证明，\n你的眼光是对的！
0000000000000,莉波,う、運命……？\n星占いとか、ラッキーアイテム的な？,命运……？\n像星座运势或者幸运物品那种？
0000000000000,{user},ここであなたと出会えたこと、\nただの偶然と片付けたくありません。,和你在这里相遇，\n我不想只是当作偶然。
0000000000000,莉波,う、ん……そう、だね……\n本当に、運命的――,嗯……对啊……\n真的是命运般的——
0000000000000,莉波,きみとの再会が運命だとしたら、\nまだまだ始まったばかりだね。,如果和你重逢是命运，\n那一切才刚刚开始呢。
0000000000000,{user},そうです。こんなところで、\n止まるはずがありません。,是的。不可能在这里停下来的。
0000000000000,莉波,うん、なんだか自信がでてきたよ。\nありがとう、{user}くん！,嗯，有些信心了。\n谢谢你，{user}！
info,adv_pstory_001_hrnm_before-audition-final-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
