id,name,text,trans
0000000000000,莉波,いよいよ、だね……,终于到了啊……
0000000000000,{user},はい。\nこの中間試験は――,是的。\n这次的期中考试是——
0000000000000,{user},姫崎さんがアイドルになるための、\n最初の登竜門です。,姫崎同学成为偶像的\n第一个挑战。
0000000000000,莉波,はああ……\nき、緊張するなぁ。,啊啊……\n有、有点紧张。
0000000000000,莉波,歌もダンスのレッスンも、\n頑張ってきたつもりだけど……,虽然我觉得自己在歌唱和舞蹈的训练上\n都很努力了……
0000000000000,莉波,やっぱり、怖い……かも。,但还是有点害怕……可能吧。
select,,大丈夫です！,没关系的！
select,,リラックス\nしましょう,放轻松\n吧
select,,信じてください,相信自己
0000000000000,莉波,で、でも……,但、但是……
0000000000000,{user},あなたの日々の努力を、\nひたむきな練習をずっと見てました。,你的日常努力，\n你的专心练习，我一直都看在眼里。
0000000000000,{user},プロデューサーとして保証します。\nあなたは――大丈夫です。,作为制作人，我可以保证。\n你——没问题的。
0000000000000,莉波,{user}くん……\n……ありがとう。,{user}君……\n……谢谢你。
0000000000000,莉波,不思議だね。きみの言葉で、\n不安な気持ちが吹きとんじゃったよ。,好神奇啊。听了你的话，\n不安的心情一下子就消失了。
0000000000000,莉波,しっかり見ててね、\nお姉さんの晴れ舞台！,好好看着吧，\n姐姐的表演！
0000000000000,{user},深呼吸して……\nすーはー、すーはー……,深呼吸……\n吸——呼——，吸——呼——……
0000000000000,莉波,すーはー……,吸——呼——……
0000000000000,{user},背筋をぴんと伸ばして……,挺直背脊……
0000000000000,莉波,んっ……んんん～っ♪\nすーはー……,嗯……嗯嗯～♪\n吸——呼——……
0000000000000,{user},手のひらに指をあてて……\n人の字を三回書いてください。,用手指在手掌上写“人”字，\n写三次。
0000000000000,莉波,ええっと、人、人、ひと……\n……って、子供のおまじないかなぁ！,呃，人，人，人……\n……这不就是小孩子的咒语吗！
0000000000000,{user},リラックスできましたか？,放松了吗？
0000000000000,莉波,……え、あ、うん！\n緊張がほぐれた気がするよ。,……嗯，啊，嗯！\n感觉紧张缓解了一些。
0000000000000,莉波,もう大丈夫！\nそれじゃあ、行ってくるね！,已经没问题了！\n那我就上了！
0000000000000,{user},あなたをプロデュースしたいと思った、\nその直感に間違いはありませんでした。,我想培育你的直觉\n没有错。
0000000000000,{user},これでも、アイドルを見る目には\n自信があるつもりです。,即使这样，我觉得自己在看待偶像方面\n还是有自信的。
0000000000000,莉波,{user}くん……,{user}君……
0000000000000,莉波,……ありがとう。\nまだ自信、持てなかったけど――,……谢谢你。\n虽然我还没能完全自信——
0000000000000,莉波,きみが信じてくれるなら、\n私も自分を信じてみる。,但既然你相信我，\n那我也试着相信自己。
0000000000000,莉波,きみの直感、間違いじゃなかったって、\nステージで証明してみせるよ。,在舞台上证明给你看，\n你的直觉没有错。
info,adv_pstory_001_hrnm_before-audition-mid-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
