id,name,text,trans
0000000000000,莉波,みんなっ、今日はありがとう♪,大家，今天真的謝謝你們♪
0000000000000,莉波,次のステージも観に来てねー。\n莉波お姉さんと約束だよっ♪,下次的舞台也要來看喔。\n是莉波姊姊的約定♪
0000000000000,{user},お疲れ様です。,辛苦了。
0000000000000,莉波,{user}くん、お疲れ様！,{user}君，辛苦了！
0000000000000,{user},講堂でのライブ、\n手ごたえはどうでしたか？,在禮堂的演出，\n感受如何？
0000000000000,莉波,すっっっごく、楽しかった！,超～級～開心！
0000000000000,莉波,たくさんの人が応援してくれて、\nずっと幸せな時間だったよ。,好多人給我加油，\n整個時間都好幸福。
0000000000000,{user},いい経験になりましたね。,是個很好的經驗呢。
0000000000000,莉波,うんっ！,嗯！
select,,もっとファンを\n増やしましょう,讓更多粉絲來\n加入吧
select,,今日のお客さんを\n大切に,今天的觀眾要\n好好珍惜
0000000000000,{user},あなたの魅力をもっともっと、\n大勢の人に知って欲しい。,希望更多人能知道\n你的魅力。
0000000000000,{user},どんどんライブに出て、\nファンを獲得していきましょう。,繼續參加更多演出，\n吸引更多粉絲吧。
0000000000000,莉波,……うん。,……嗯。
0000000000000,莉波,ステージに立てるだけで、\n満足って思ってたけど、,本來只是站在舞台上就滿足了，\n但看到那風景後，
0000000000000,莉波,あの景色を見ちゃったら、\nまた一番になりたいって、,又想再次成為焦點了，
0000000000000,莉波,欲張りになっちゃったかも。,或許變得有些貪心了呢。
0000000000000,{user},今日のライブに来てくれたお客さんは、\nきっとファンになってくれます。,今天來觀賞演出的觀眾，\n肯定會成為粉絲的。
0000000000000,{user},これからライブをするたびに、\n新たなファンを呼んでくれるでしょう。,未來每次演出，\n都會吸引新的粉絲。
0000000000000,莉波,うん。今日来てくれたお客さんのこと、\n絶対に忘れない。,嗯。今天來的觀眾，\n我絕對不會忘記。
0000000000000,莉波,……{user}くん。私ね――,……{user}君。其實我－－
0000000000000,莉波,一番最初にファンになってくれた\n人のこと、今でも覚えてるよ。,記得第一位成為我的粉絲的\n人，至今仍記得。
0000000000000,莉波,その人は、私のへたっぴな歌を\nずっと聴いてくれて――,那個人一直聽我的拙劣歌聲－－
0000000000000,莉波,もっともっとって、\nせがんでくるものだから、,一直要我唱更多更多，\n讓我漸漸喜歡上唱歌。
0000000000000,莉波,だんだん、歌うことが\n好きになっちゃったんだ。,他一定很幸福吧。
0000000000000,{user},きっと幸せでしょうね。\nその最初のファンの人は。,他一定很開心吧。\n那位最初的粉絲。
0000000000000,莉波,……うん。そうだといいなぁ。,……嗯。希望如此。
0000000000000,莉波,でも、そんな最初の気持ちは、\n自信をなくして、消えちゃって。,但那種最初的感覺，\n隨著失去自信而消逝了。
0000000000000,莉波,もう諦めちゃおうかなって、\n……思ってた。,覺得要放棄了，\n……當時是這麼想的。
0000000000000,莉波,でも、きみとまた出会えて、\nきみは私の歌を覚えててくれた。,但是再次遇見你，\n你還記得我的歌。
0000000000000,莉波,このステージに立つことができたのは、\nきみのおかげなんだ。,能站上這個舞台，\n都是因為你。
0000000000000,莉波,ありがとう、{user}くん。\n私の一番大切な……,謝謝你，{user}君。\n我最珍惜的……
0000000000000,{user},……――。,……－－。
0000000000000,莉波,一番大切なファン1号さん。\nこれからもよろしくね♪,最珍惜的粉絲No.1。\n以後也請多多支持喔♪
info,adv_pstory_001_hrnm_ending-true-01.txt,,
译者,gpt-3.5-turbo-0125,,
