id,name,text,trans
0000000000000,{user},お疲れ様でした。咲季さんは……,辛苦了。咲季……
0000000000000,{user},不合格でした。,不合格。
0000000000000,咲季,なっ……,什……
0000000000000,咲季,なぁんですってぇ～～～～～～～！！！,你说什～～～～～～么！！！
0000000000000,咲季,こ、このわたしが……\nこの花海咲季がっ……！,这、这可是我……\n这个花海咲季啊……！
select,,（黙って\n見ていよう）,（默默地\n看着）
select,,ポジティブに\n考えましょう,要积极\n想一点
select,,妹さんが会いに\n来ていますよ,你妹妹\n来看你了哦
0000000000000,咲季,ぐぬぬぬぬぬぅ～～～～～～～ッ！！,咕唔唔唔唔～～～～～～～！！
0000000000000,咲季,うぎぎぎぎぎぃ～～～～～～～～！！,啊啊啊啊啊～～～～～～～～！！
0000000000000,咲季,あ゛ぁ～～～～～っ！！\n負！　け！　たぁっ！！,啊～～～～～！\n输！了！！
0000000000000,咲季,……はぁっ……はぁっ…………,……哈……哈…………
0000000000000,{user},落ち着きましたか？,冷静了吗？
0000000000000,咲季,は？　息切れしたから、\n中断しただけだけど？,哈？我只是喘不过气，\n暂停一下而已。
0000000000000,{user},……失礼しました。\n存分に続きをどうぞ。,……失礼了。\n请继续发泄吧。
0000000000000,咲季,う～～～～が～～～～～～～～！！,呜～～～～啊～～～～～～～～！！
0000000000000,咲季,く～～や～しぃ～～～～～～ッ！！,好～～懊～～恼～～～～～～！！
0000000000000,{user},咲季さんの伸びしろが、まだまだ\n残っていることがわかった、と。,看来咲季还有很大的\n进步空间啊。
0000000000000,咲季,……ふん、\nそれは確かに喜ばしいコトね。,……哼，\n这倒是值得高兴。
0000000000000,咲季,だからって、負けて喜ぶのは\nわたしじゃないわ！！,但我可不会\n因为输了就高兴！！
0000000000000,咲季,プロデューサー。わたしこれから、\n思いっきり悔しがるから。,制作人。我接下来要\n好好懊恼一番。
0000000000000,咲季,それが終わったら反省会よ！　\nいいわね！,之后我们要开反省会！\n明白了吗！
0000000000000,咲季,！？,！？
0000000000000,咲季,じゅ、10秒だけ待って！！　\nすぐに立ち直るから！！,等、等10秒！！\n马上就恢复！
0000000000000,{user},10、9、8、7、6、5、4、3、2、1……,10、9、8、7、6、5、4、3、2、1……
0000000000000,咲季,数えるのはやいぃ！？\nはいっ！　立ち直ったわ！,数得太快了吧！？\n好！我恢复了！
0000000000000,咲季,さ！　いつでも呼んでいいわよ！,好了！随时可以开始！
0000000000000,{user},大丈夫ですか？,你没事吧？
0000000000000,咲季,妹の前で負けたこと？,在妹妹面前输了？
0000000000000,咲季,これくらいで幻滅されるなら……\n話は簡単だったんだけどね。,如果这样就让她失望的话……\n那就简单了。
0000000000000,咲季,弱音はおしまい！　いまのわたしは\n無敵のお姉ちゃんなんだから！,不再说丧气话！现在的我可是\n无敌的姐姐！
info,adv_pstory_001_hski_after-audition-final-failure-01.txt,,
译者,gpt-4o-2024-05-13,,
