id,name,text,trans
0000000000000,{user},お疲れ様でした。咲季さんは……,辛苦了。咲季……
0000000000000,{user},合格です。素晴らしい結果でしたね。,合格了。真是了不起的结果呢。
0000000000000,咲季,んっ、いまのわたしにとって、\n妥当な結果ね。,嗯，对现在的我来说，\n这个结果挺合理的。
0000000000000,{user},咲季さん。,咲季。
0000000000000,咲季,なにかしら、プロデューサー？,什么事，制作人？
select,,感情を\n隠しましたね？,你隐藏了\n情绪吧？
select,,順位が\n不満ですか？,对排名\n不满意吗？
select,,次は1位を\n取りましょう,下次我们拿\n第一吧
0000000000000,咲季,隠したというか……,说隐藏也不太对……
0000000000000,咲季,気持ちが整理できてないから、\n棚上げにしただけよ。,只是因为心情还没理清，\n所以暂时搁置了。
0000000000000,咲季,むずかしーわよね、この順位って。,这个排名真是\n复杂啊。
0000000000000,咲季,間違いなく上位で、\n良い結果ではあるけれど……\n,毫无疑问是上位，\n也算是个好结果，但……\n
0000000000000,咲季,嬉しいし、悔しいし、不安だし……\nほっとしてる自分もいる。,开心、懊恼、不安……\n还有一部分自己觉得松了一口气。
0000000000000,咲季,とりあえず――ライブに集中するわ。,总之——我要集中精力在演唱会上。
0000000000000,咲季,思いっきり歌って！　踊って！,尽情地唱！尽情地跳！
0000000000000,咲季,スッキリしてから悩むのよ！,清爽之后再烦恼吧！
0000000000000,咲季,もちろん不満よ。\nアイドルに限らず、どんな競技でも……,当然不满意了。\n无论是偶像还是其他竞技……
0000000000000,咲季,1位以外は負けだもの！,除了第一名都是输！
0000000000000,咲季,――って、そう自信満々に言えたら、\nいいんだけどね。正直に言うと……,——这么自信满满地说出来，\n那就好了。不过老实说……
0000000000000,咲季,高順位を取れて嬉しいの。\nそんな自分が……不満で、不安。,我很高兴能取得高名次。\n但这样的自己……不满，也不安。
0000000000000,咲季,だって世界一のアイドルを目指す、\n花海咲季らしくないじゃない？,因为以成为世界第一偶像为目标的\n花海咲季，这样的状态不对吧？
0000000000000,{user},咲季さんらしい悩みですね。,真是咲季式的烦恼呢。
0000000000000,咲季,それだけで話題を終了させるのが、\nわたしのプロデューサーなのよね。,就这样把话题结束\n这就是我的制作人啊。
0000000000000,咲季,というわけで悩むのはおしまい！\nライブに向けて集中するわ！,所以说烦恼到此为止！\n我要集中精力准备演唱会！
0000000000000,咲季,ふふん、当然でしょ！,哼哼，理所当然吧！
0000000000000,咲季,わたしを誰だと思っているの？,你以为我是谁？
0000000000000,咲季,未来のトップアイドル、花海咲季よっ！,我是未来的顶级偶像，花海咲季！
0000000000000,咲季,プロデューサー、\nしっかりライブを観ておきなさい。,制作人，\n好好看我的演唱会吧。
0000000000000,咲季,わたしが何者なのか、\n改めて思い知らせてあげるわ！,我要再一次让你明白\n我到底是谁！
info,adv_pstory_001_hski_after-audition-final-normal-02.txt,,
译者,gpt-4o-2024-05-13,,
