id,name,text,trans
0000000000000,{user},お疲れ様でした。咲季さんは……,辛苦了。咲季……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。真是最好的结果呢。
0000000000000,咲季,ふふんっ、当然の結果ね！,哼哼，这是理所当然的结果！
0000000000000,咲季,さぁプロデューサー。,那么，制作人。
0000000000000,咲季,もっともっと、\nこのわたしを褒めたたえなさいっ！,快来多多夸奖我吧！
select,,妹に\n自慢できますね,可以向妹妹\n炫耀了
select,,先ほども魅力的\nでしたが……,刚才也很有魅力\n但是……
select,,やめて\nおきましょう,还是算了吧
0000000000000,咲季,んふふふふふ……まぁ～ねぇ～♪,嗯哼哼哼……没错，就是这样♪
0000000000000,咲季,――いや！　いやいや、まだよ……\nまだまだ……！,——不，不不，还不行……\n还早得很……！
0000000000000,咲季,確かに良い結果ではあるけれど、\nあの子に自慢するにはまだ早いわ！,虽然确实是个好结果，\n但还不足以向她炫耀！
0000000000000,咲季,だってわたしは、\n最初の関門を突破しただけだもの。,因为我只是通过了\n第一个关卡而已。
0000000000000,咲季,胸を張って自慢できる\n結果を手にするのは――,能够自豪地炫耀的\n结果——
0000000000000,咲季,これからでしょ！！,还在后头呢！！
0000000000000,咲季,魅力的でしたが？？？,刚才很有魅力？？？
0000000000000,{user},咲季さんは、そうやって調子に\n乗っているときが一番ですよ。,咲季，你这样得意洋洋的样子\n最可爱了。
0000000000000,咲季,えへへっ♡　そうでしょお～～～！,嘿嘿♡ 是吧～～～！
0000000000000,咲季,だけど簡単に一番なんて言っちゃって\nいいのかしら？,不过这样随便说我是第一\n真的好吗？
0000000000000,咲季,わたしの魅力は、まだまだまだまだ\nいくらでもあるんだから！,我的魅力可是还远远不止这些呢！
0000000000000,咲季,きっとこの先、誉め言葉が\n足らなくなっちゃうわよ！,以后的夸奖词\n恐怕会不够用哦！
0000000000000,咲季,は、はぁ～？　なんでよぉ！,哈，什么呀！
0000000000000,{user},最高の結果だったとはいえ、\nまだ第一関門を突破しただけですから。,虽然结果很好，但\n这只是第一个关卡。
0000000000000,咲季,それはそうだけど……,那倒也是……
0000000000000,{user},次も、その次も、そのまた次も――\nきっと咲季さんは1位を取り続ける。,下一次，下下次，下下下次——\n咲季肯定会一直拿第一。
0000000000000,{user},このくらいで褒める\nわけにはいきません。,不能这么早就夸你。
0000000000000,咲季,わ、わかってるじゃない……！\nふん、そういうことなら許してあげる。,哼，你还算有点眼光……！\n好吧，那就原谅你了。
info,adv_pstory_001_hski_after-audition-mid-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
