id,name,text,trans
0000000000000,咲季,ん～～～～～っ、準備体操終わりっ！,嗯～～～～～，準備體操結束啦！
0000000000000,咲季,そろそろ時間かしら、\nプロデューサー？,差不多到時間了，\n製作人？
0000000000000,{user},楽しそうですね、咲季さん。,看起來很開心呢，咲季小姐。
0000000000000,咲季,うんっ。,嗯。
0000000000000,咲季,さあ、これから始まるぞ！　\nっていう控え室の雰囲気。,接下來就要開始了！\n這種似乎是控制室的氛圍。
0000000000000,咲季,じわじわとテンションが上がっていく、\nこの感覚。,這種逐漸高漲的感覺，\n我好喜歡。
0000000000000,咲季,大好きなの。,真的很喜歡。
select,,歴戦の風格ですね,歷經風霜的風範呢
select,,自信が\nありそうですね,看起來\n很有自信呢
select,,同感です,同感呢
0000000000000,咲季,そりゃあね、いままで色んな競技で、\n大舞台を経験してきたもの。,是啊，我在許多比賽中，\n經歷過大舞台。
0000000000000,咲季,勝ちも負けも、成功も失敗も、\nたくさん味わってきたわ。,無論勝利還是失敗，\n成功還是失敗，我都嚐過很多。
0000000000000,咲季,だからって――,但即便如此——
0000000000000,咲季,緊張しないわけでも、怖くなくなる\nわけでも、ないけれどね。,並不是說我不會緊張，或不害怕，\n只是我已經經歷過了。
0000000000000,咲季,今日だって、いまの実力じゃあ\n分の悪い勝負でしょう？,今天，以現在的實力，\n看起來是一場不容易贏的比賽對吧？
0000000000000,咲季,だからいいのよ。何度味わっても、\nちっとも飽きない。,但這樣也好。無論多少次，\n我都不會感到厭倦。
0000000000000,咲季,プロデューサー、見てなさい。,製作人，看好了。
0000000000000,咲季,挑戦者として、全力で挑んでくるわ。,作為挑戰者，我會全力以赴。
0000000000000,咲季,ふふん、当然でしょ！\nわたしが一番に決まってるわ！,呼呼，當然啦！\n我當然是第一名！
0000000000000,咲季,――と、言いたいところだけど、\nそうでもないわ。,—雖然我想這麼說，\n但事實並非如此。
0000000000000,咲季,わたしに1位を取れるだけの実力が、\n付いているのかどうか。,我是否具備足夠的實力，\n取得第一名，還得看情況。
0000000000000,咲季,やってみなくちゃわからないもの。,不試一下是不會知道的。
0000000000000,{user},相変わらず咲季さんは、\n一見自信家に見えてクレバーですね。,咲季小姐還是那麼自信，\n看似聰明呢。
0000000000000,咲季,弱気で悪かったわね。ふん、\n妹の前じゃなきゃ、こんなものよ。,抱歉讓你見笑了。哼，\n只有在妹妹面前才會這樣。
0000000000000,咲季,けど、勘違いしないでよね。,但別誤會了。
0000000000000,咲季,わたしが狙うのは、\nいつだって1位だけ。,我追求的，總是第一名。
0000000000000,咲季,全員に勝つつもりで、挑んでくるわ！,我會全力以赴，挑戰所有人！
0000000000000,{user},担当アイドルを、\nこうして送り出すとき。,送出擔任偶像時。
0000000000000,{user},いつも熱い気持ちになる。,總是充滿熱情。
0000000000000,咲季,なら――,那麼——
0000000000000,咲季,わたしたちって、似た者同士ね！,我們兩個真是志同道合呢！
0000000000000,咲季,ふふんっ――そんなあなたに、\nわたしからプレゼントをあげる。,呼呼——對於這樣的你，\n我要送上禮物。
0000000000000,咲季,よーっく見ていなさい、\nプロデューサー。,好好看著，\n製作人。
0000000000000,咲季,あなたの育てたアイドルが、\nみんなの度肝を抜くところをねっ！,由你培育的偶像，\n將會令大家大吃一驚！
info,adv_pstory_001_hski_before-audition-mid-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
