id,name,text,trans
0000000000000,咲季,プロデューサー、\n最近のわたしってどう思う？,製作人，\n最近覺得我怎麼樣？
select,,さらに美しく\nなりましたね,變得更美麗了呢
select,,さらに健やかに\nなりましたね,變得更健康了呢
0000000000000,咲季,ふへへ、わかっちゃう～～～？\nそうなのっ！,嘻嘻，看穿了嗎～～～？\n對啦！
0000000000000,咲季,でもね、あなたが用意してくれる\nアイテムのおかげでもあるわ。,不過，也多虧你準備的道具呢。
0000000000000,咲季,えっ、今日もなにかくれるの？\nまったくもぉ……,欸，今天也要給我什麼嗎？\n真是的……
0000000000000,咲季,プロデューサーって、わたしのことが\nよっぽど好きなのね。,製作人，對我可是很喜歡呢。
0000000000000,咲季,まぁね～～～～～～～！！,嘛～～～～～～～！！
0000000000000,咲季,日々鍛練を欠かしていないものっ！\n当り前よね～！,每天不忘鍛鍊啊！\n當然啦！
0000000000000,咲季,もっともっとスキルアップして、\nトップアイドルまで一直線よ！,要更加提升技能，\n一直朝著頂級偶像邁進！
info,adv_pstory_001_hski_opening-true-02.txt,,
译者,gpt-3.5-turbo-0125,,
