id,name,text,trans
0000000000000,{user},お疲れ様でした。佑芽さんは……,辛苦了。佑芽你……
0000000000000,{user},……不合格でした。,……不合格。
0000000000000,佑芽,ぐぬぬぬ……っ……ぐぎぎぎぎぎ……\nぬぐぐぐぐぅうぅ～～～～…………,呜呜呜呜……呜啊啊啊啊啊……\n呜呜呜呜呜～～～～……
0000000000000,佑芽,く～～～や～～し～～～～～～～！,真是太气人了～～～～～～～！
select,,反省会を\nしましょう,来开个反省会吧\n
select,,まだまだ成長\nできそうですね,看来还可以继续成长\n
select,,すっきり\nしましたか？,你感觉好点了吗？\n
0000000000000,佑芽,――ですね！　\nよしっ、切り替えました！,对！\n好了，调整好了！
0000000000000,{user},……立ち直りが早いですね。,……恢复得真快啊。
0000000000000,佑芽,悔しがってるばかりじゃ、\nなんにも変わりませんから！,光顾着懊恼的话，\n什么也改变不了！
0000000000000,佑芽,一秒でも早く立ち上がれば、\nそれだけ早くリベンジできます。,越早站起来，\n就能越早复仇。
0000000000000,佑芽,さあっ、プロデューサーさん！,来吧，制作人！
0000000000000,佑芽,もう一度、挑戦ですよ！,再来一次，挑战吧！
0000000000000,佑芽,プロデューサーさん！,制作人！
0000000000000,佑芽,あたしの希望を聞いてください！,请听我的愿望！
0000000000000,佑芽,あたしは、早く成長したいんです！\n早く早く早く早く成長したいんです！,我想快点成长！\n快点快点快点快点成长！
0000000000000,{user},焦っていますね。,你有些急了。
0000000000000,佑芽,はい、焦っていますとも！,是的，我很急！
0000000000000,{user},失敗は成功のもと、と言いますよ。\nあまり敗北を気に病むことはない。,失败是成功之母。\n不必太在意失败。
0000000000000,佑芽,それはそうですけど……,那倒是……
0000000000000,{user},……まあ、成功も成功のもとなので、\n勝った方がいいに決まっていますが。,……不过，成功也是成功之母，\n赢了当然更好。
0000000000000,佑芽,ですよね！　\nって、プロデューサーさん！！,对吧！\n等等，制作人！！
0000000000000,佑芽,怒りますよ～～～！,我生气啦～～～！
0000000000000,佑芽,いいえ、まったく。,不，完全没有。
0000000000000,佑芽,負けた悔しさは、\n勝つまで消えないんです！,失败的懊恼，\n不会在赢之前消失！
0000000000000,{user},では、勝つための話をしましょう。,那么，我们来谈谈如何取胜吧。
0000000000000,佑芽,そうしましょう、\nプロデューサーさん！,就这么办吧，\n制作人！
0000000000000,{user},敗戦からのリカバリーが早いのは、\nさすがですね。,能迅速从失败中恢复，\n确实了不起。
0000000000000,佑芽,あたし、\n負けて褒められるのは嫌いです。,我不喜欢\n因为失败而被表扬。
0000000000000,佑芽,次、勝ちますから。,下次，我一定会赢。
0000000000000,佑芽,そのときは、たくさん褒めてください！,到时候，请好好表扬我！
info,adv_pstory_001_hume_after-audition-mid-failure-01.txt,,
译者,gpt-4o-2024-05-13,,
