id,name,text,trans
0000000000000,{user},お疲れ様でした。佑芽さんは……,辛苦了，佑芽……
0000000000000,{user},合格です。ギリギリの結果でしたね。,合格了。真是刚刚好啊。
0000000000000,佑芽,はいっ！,是！
0000000000000,佑芽,プロデューサーさん！,制作人！
0000000000000,佑芽,あたし、次はもっとがんばります！,我，下次会更加努力的！
select,,意外な反応ですね,真是意外的反应呢
select,,反省点の整理を\nしましょう,整理一下反思点吧\n好好总结一下
select,,質問が\nありそうですね,好像有问题\n想要问呢
0000000000000,{user},佑芽さんの性格なら、激しく\n悔しがるものと思っていました。,按佑芽的性格，我以为你会\n非常懊悔呢。
0000000000000,佑芽,ん～、低い順位ではありますけど。\n元々はもっとひどかったわけで。,嗯～，虽然排名不高。\n但原本情况更糟糕。
0000000000000,佑芽,負けて悔しい気持ちも、きちんと\n成果が出て嬉しい気持ちも、,既有失败的懊恼，也有\n取得成果的喜悦，
0000000000000,佑芽,両方あるんです。,两者都有。
0000000000000,佑芽,いずれにせよ、『次』に向けて\n早く切り替えた方がよくて――,无论如何，为了‘下次’\n尽快调整更好——
0000000000000,佑芽,ですから。\n次は、もっと、がんばります！,所以。\n下次，我会更加努力！
0000000000000,{user},（……なるほど。本人の性格とは\n裏腹に、クレバーな考え方だ）,（……原来如此。与她的性格\n相反，是个聪明的想法）
0000000000000,{user},わかりました。次は、\nより高い順位を狙いましょう。,明白了。下次，\n我们瞄准更高的排名吧。
0000000000000,佑芽,はいっ！　お任せください、\nプロデューサーさん！,是的！ 请交给我吧，\n制作人！
0000000000000,佑芽,はい！　お願いします！,好！ 拜托了！
0000000000000,{user},まずは自己評価を聞かせてください。,首先请告诉我你的自我评价。
0000000000000,佑芽,ん～、そうですね……\n妥当な順位だったと思います。,嗯～，是的……\n我觉得这个排名是合理的。
0000000000000,佑芽,我ながらミスが多かったので……\n悔しいです。,虽然我犯了很多错误……\n真是不甘心。
0000000000000,{user},出会った頃と比べれば、\n格段に成長していますよ。,和初次见面时相比，\n你已经有了很大的进步。
0000000000000,佑芽,はい！　それは自分でも\n実感できていて……嬉しいです！,是的！ 这一点我自己也\n能感觉到……很开心！
0000000000000,{user},総じて、プロデュースは順調です。\nこの調子で、次はより高い順位を。,总体来说，培育很顺利。\n继续保持，下次争取更高的排名。
0000000000000,佑芽,もちろんです！　どんどん成長して、\nどんどん順位を上げていきますよ！,当然了！ 我会不断进步，\n不断提高排名！
0000000000000,佑芽,さすがプロデューサーさん！\nよくわかりましたね！,不愧是制作人！\n真是了解我！
0000000000000,佑芽,じゃあ、質問です！,那么，我有个问题！
0000000000000,佑芽,今日の結果――あたしにとって、\n勝ちですか？　負けですか？,今天的结果——对于我来说，\n是胜利吗？ 还是失败？
0000000000000,{user},次につながる負けです。,是为下一次做准备的失败。
0000000000000,佑芽,ふむ～……あたしは、それを、\nどう受け止めればいいでしょうか。,嗯～……我该\n如何接受这个结果呢。
0000000000000,{user},あるがままに……いえ。\n悔しがりましょう。,面对现实……不，\n应该懊悔。
0000000000000,{user},その気持ちをばねに、\nより高い順位を目指してください。,以这种心情为动力，\n争取更高的排名。
0000000000000,佑芽,わっかりました！　――すぅ～～っ！,明白了！——呼～～～
0000000000000,佑芽,く～～～や～～～し～～～～～～～！,好～～～懊～～～悔～～～～～～～！
0000000000000,佑芽,さあっ、めらめらと燃えてきましたよ、\nプロデューサーさん！,好了，我燃起来了，\n制作人！
info,adv_pstory_001_hume_after-audition-mid-normal-04.txt,,
译者,gpt-4o-2024-05-13,,
