id,name,text,trans
0000000000000,佑芽,………………,………………
0000000000000,{user},佑芽さん。そろそろ始まりますよ。,佑芽，差不多该开始了哦。
0000000000000,佑芽,……………………,……………………
0000000000000,{user},……う、佑芽さん！？,……呃，佑芽！？
0000000000000,佑芽,んン……,嗯嗯……
0000000000000,佑芽,ふぁ～～～～～～～～～～…………,哈～～～～～～～～～～…………
0000000000000,佑芽,ふぁいっ！　聞こえてますよ～、\nプロデューサーさん！,好嘞！我听到了哦，\n制作人！
0000000000000,佑芽,すぐに準備しますねっ。,我马上准备好。
0000000000000,{user},佑芽さん…………,佑芽…………
select,,眠くなって\nしまいましたか？,是困了吗？
select,,リラックス\nできましたか？,放松了吗？
select,,闘志が\n溢れていますね,斗志满满啊！
0000000000000,{user},本番直前に、ものすごい余裕ですね。,临近开演前，你还真是镇定自若啊。
0000000000000,佑芽,えへへ……そんなことないですよ。\nえ～っとですね。,嘿嘿……也不是啦。\n那个……
0000000000000,佑芽,今日、あたし、\nほとんど勝ち目がないと思うんです。,今天，我觉得自己基本没什么胜算。
0000000000000,佑芽,でも、なんとか勝ちたいので！,但我还是想尽力赢！
0000000000000,佑芽,ほんのちょっぴりでも、\n勝てる可能性を増やしたくて。,哪怕只增加一点点胜算也好。
0000000000000,佑芽,――こうしてました。,——所以才这样做的。
0000000000000,佑芽,今日の勝負が楽しみすぎて……\n力、入りすぎちゃってましたから。,今天的比赛太期待了……\n用力过猛了。
0000000000000,{user},……意識して脱力を。なるほど、\nさすがに勝負慣れしている。,……有意识地放松，原来如此，\n真不愧是有经验的选手。
0000000000000,佑芽,あはは……悪あがき\nみたいなものですけどね。,哈哈……虽然有点像徒劳挣扎。
0000000000000,{user},いいではないですか、悪あがき。,没关系，徒劳挣扎也好。
0000000000000,{user},やれることはすべてやって、\n敗色濃厚な勝負に挑みましょう！,我们尽全力去做，\n迎接这场看似必败的比赛吧！
0000000000000,佑芽,はいっ！,嗯！
0000000000000,佑芽,わかりません。,我不知道。
0000000000000,佑芽,色んな気持ちが混ざったものが、\n胸の中で燃えてるんです。,各种情感交织在一起，\n在我心中燃烧。
0000000000000,佑芽,いまにも溢れて、燃え上がりそうで。,仿佛随时都会溢出，燃烧起来。
0000000000000,{user},あとほんの少しだけ辛抱してください。\nもう、始まりますから。,再忍耐一下。\n马上就要开始了。
0000000000000,{user},その想いは、ステージの上で\n爆発させましょう。,把这些感情，在舞台上\n尽情爆发吧。
0000000000000,佑芽,はい！　今日、あたし――,好的！今天的我——
0000000000000,佑芽,調子がいいのか悪いのか、\n自分でもわからないんですけど。,状态好不好，我也不清楚。
0000000000000,佑芽,爆弾になったつもりで、\nいってきます！,就当自己是一颗炸弹，\n冲吧！
0000000000000,佑芽,あはは……居眠りしてたアイドルに\nそんなこと言うの、,哈哈……对一个刚才还在打瞌睡的偶像\n说这种话，
0000000000000,佑芽,プロデューサーさんだけですよ。,也只有你这个制作人了。
0000000000000,佑芽,――でも。,——但。
0000000000000,佑芽,当たりです。,你说对了。
0000000000000,佑芽,火が出そうなくらい、燃えてます。,我都要燃烧起来了。
0000000000000,佑芽,今日のあたしは、絶好調です！,今天的我，状态绝佳！
0000000000000,佑芽,勝ってきます、プロデューサーさん！,我要赢回来，制作人！
info,adv_pstory_001_hume_before-audition-final-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
