id,name,text,trans
0000000000000,佑芽,おはようございまーっす！！！,早上好！！！
0000000000000,{user},おはようございます、佑芽さん。,早上好，佑芽。
select,,こちらをどうぞ,请用这个
select,,こんなレッスンは\nいかがですか？,这样的课程\n怎么样？
0000000000000,佑芽,ありがとうございます！　\nいただきま～すっ！,谢谢！　\n我开动了！
0000000000000,{user},いてもたってもいられない様子ですね。,看起来你坐不住了。
0000000000000,佑芽,ふふふふ……そうなんです。\nも～毎日が楽しくってぇ！,呵呵呵……是的。\n每天都很开心呢！
0000000000000,佑芽,プロデューサーさんっ！\n今日もよろしくお願いします！,制作人！\n今天也请多关照！
0000000000000,佑芽,お～っ、いいですね！　\n望むところです！,哦~，不错！　\n我正期待着呢！
0000000000000,佑芽,新しいスキルを身に付けて、\nさらに成長しちゃいます！,学会了新技能，\n我要更进一步成长了！
info,adv_pstory_001_hume_opening-true-01.txt,,
译者,gpt-4o-2024-05-13,,
