id,name,text,trans
0000000000000,千奈,うぅ～、先生！,呜～，老师！
0000000000000,千奈,先生先生先生せんせぇ～～～！\nどうしましょう～～～～～～～！,老师老师老师老——师～～～！\n怎么办～～～～～～～！
0000000000000,千奈,わたくし……わたくし……,我……我……
0000000000000,千奈,なんだかすごく場違いなところに\n来てしまったような気がしますわ！,总觉得好像来到了\n一个不合适的地方！
select,,大丈夫,没关系
select,,慌てても\n遅いですよ,即使慌张\n也来不及了
select,,リラックス\nしましょう,放轻松\n吧
0000000000000,{user},いまの倉本さんなら、\nそうそう負けはしませんよ。,现在的仓本同学，\n不会轻易输的。
0000000000000,千奈,そ、そうでしょうか……？　皆さん、\nそうそうたる顔ぶれのような……,是、是这样吗……？大家看起来，\n都很厉害的样子……
0000000000000,{user},自分もその中のひとりだと、\n自覚しましょう。,你也要意识到，\n你是其中的一员。
0000000000000,千奈,むずかしぃですわぁ……,好难啊……
0000000000000,{user},倉本さんは……,仓本同学……
0000000000000,{user},最初に抱いたアイドルへの敬意を、\nずっと持ち続けていますね。,你一直都把对偶像的敬意\n放在心中呢。
0000000000000,千奈,もちろんですわ。なにせわたくし、\n学園最下位のアイドルでしたから。,那当然了。毕竟我曾经是\n学校里最差的偶像。
0000000000000,千奈,自分以外の生徒を甘く見るなんて、\n考えられませんもの。,看轻其他学生，\n是无法想象的。
0000000000000,{user},倉本さんは、\nそれでいいのかもしれませんね。,也许，\n这样对仓本同学更好。
0000000000000,{user},そのままの気持ちで、\n挑戦してきてください。,带着这种心情，\n去挑战吧。
0000000000000,千奈,はい！　いつも通り、\n全力をぶつけてきますわ！,好！像平常一样，\n全力以赴！
0000000000000,{user},もう、始まりますから。\n覚悟を決めましょう。,已经要开始了。\n做好准备吧。
0000000000000,千奈,ですわよね……,是啊……
0000000000000,千奈,………むぐぐぐ…………ぅ。\nすーはー……すーは……よ、よぉしっ。,………呜呜呜…………呃。\n呼——吸——……呼——吸——……好，好的。
0000000000000,千奈,――わたくし、覚悟を決めましたわ。,——我准备好了。
0000000000000,{user},では、行きましょうか。,那么，出发吧。
0000000000000,千奈,やっぱり嘘ですわ！　あと30秒だけ\nお待ちくださいませ！,果然还是不行！再等30秒\n拜托了！
0000000000000,{user},……焦らないでも大丈夫ですよ。,……不用着急，没关系的。
0000000000000,千奈,はぃぃ～～！,好～～！
0000000000000,{user},あくまで試験は試験。\n本番のライブではないのですから。,这只是考试，\n不是正式的演唱会。
0000000000000,{user},いまの力を試す。そのくらいの\n気持ちで臨みましょう。,就当是检验现在的实力，\n以这种心态去面对吧。
0000000000000,千奈,そうおっしゃいましても……\n緊張しますわぁ……,即便您这么说……\n我还是紧张……
0000000000000,{user},――大事なシーンで緊張する。\n――勝ち目の薄い勝負に挑む。,——在重要场合紧张。\n——挑战胜算不大的对手。
0000000000000,{user},すべてが貴重な経験です。\n今日は、得る物しかありません。,这些都是宝贵的经验。\n今天，只会有所收获。
0000000000000,千奈,……ふふっ。,……呵呵。
0000000000000,千奈,緊張はちっともなくなりませんけれど。\n……少し楽になりましたわ。,虽然紧张一点没减。\n……但轻松了些。
0000000000000,千奈,――よしっ！,——好！
0000000000000,千奈,挑んで参りますわ！　先生！,我要去挑战了！老师！
info,adv_pstory_001_kcna_before-audition-final-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
