id,name,text,trans
0000000000000,千奈,先生！　来てくださったのですわね！,老师！ 你来了啊！
0000000000000,{user},はい、お元気そうでよかった。\n学校を欠席した、とのことでしたが……,是的，你看起来很好。\n听说你今天没来学校……
0000000000000,千奈,うふふ、ご心配をおかけしました。,呵呵，让您担心了。
0000000000000,千奈,今日お休みしたのは\n病気ではありませんの。,今天请假的原因\n不是因为生病。
0000000000000,千奈,筋肉痛ですわ！,而是肌肉酸痛！
select,,では筋肉痛でも\nできるレッスンを,那就做一些\n即使肌肉酸痛也能做的课程吧
select,,ゆっくり\n休んでください,好好\n休息一下吧
0000000000000,千奈,まぁ、嬉しい！　\n先生って、まるで鬼のよう！,哎呀，真高兴！\n老师简直像魔鬼一样！
0000000000000,{user},どうも。動画を使ったイメージ\nトレーニングなどどうでしょう。,谢谢。不如试试用视频\n进行形象训练怎么样？
0000000000000,千奈,がんばって皮肉を言ってみたのに、\nまったく効きませんわ！,我好不容易试着讽刺一下，\n结果完全没用！
0000000000000,{user},倉本さんには向いてないですよ。,这对仓本同学不适合。
0000000000000,千奈,うぅ～～。,呜～～。
0000000000000,千奈,はぁ……ゆううつですわぁ。,唉……真是郁闷。
0000000000000,千奈,うぅぅ……そういたしますわ。,唔……我会照做的。
0000000000000,千奈,情けない教え子で\n申し訳ございません～。,真是个没用的学生，\n真对不起……
0000000000000,{user},運動不足の人間が運動を始めれば、\n筋肉痛になるのは当然です。,不经常运动的人一开始运动，\n肌肉酸痛是很正常的。
0000000000000,{user},落ち込むことはないですよ。\nむしろ順調だと思いましょう。,别沮丧。\n反而应该觉得这是个好迹象。
0000000000000,千奈,ですが……わたくし、ただでさえ\n皆様よりも遅れていますのに……,但是……我本来就比大家慢了……
0000000000000,千奈,休んでいると、焦ってしまって。,这样休息，只会让我更焦虑。
0000000000000,{user},そう思えることが、\n成長している証拠です。,能这样想，\n说明你在进步。
0000000000000,{user},そうそう、\nお見舞いの品を持ってきました。,对了，\n我带了礼物来看你。
0000000000000,千奈,まぁ、先生が、わたくしに？\nいったいなんでしょう？,哎呀，您给我带了什么？\n到底是什么呢？
0000000000000,{user},アイドルのライブ映像です。倉本さんと\n体格が似ている方々を集めました。,是偶像的演唱会视频。我找了一些\n和你体型相似的偶像。
0000000000000,千奈,……こ、これを観て、イメージ\nトレーニングをしろと？,……让我看这个，进行形象\n训练吗？
0000000000000,千奈,……ふふ、本当に、先生らしいですわ。,……呵呵，真是像老师的风格。
0000000000000,千奈,素晴らしいお見舞い品を、\nありがとうございました。,非常感谢您带来的\n这么好的礼物。
0000000000000,千奈,わたくし、\nきっと糧にしてみせますわ！,我一定会\n好好利用的！
info,adv_pstory_001_kcna_ending-normal-05.txt,,
译者,gpt-4o-2024-05-13,,
