id,name,text,trans
0000000000000,千奈,先生！　お待ちしておりましたわ！,老师！ 我一直在等您！
select,,いつも元気な\n倉本さんにこれを,给总是充满活力的\n仓本小姐这个
select,,今後のレッスンに\nついてですが,接下来关于课程\n的事情
0000000000000,千奈,まあっ！,哎呀！
0000000000000,千奈,ありがとうございます、先生！,谢谢您，老师！
0000000000000,千奈,わたくしますます、\nやる気が湧いてきましたわ～っ！,我越来越有干劲了～！
0000000000000,千奈,はいっ！　わたくしの\nパワーアップ計画ですわねっ！,好的！ 这是我的\n提升计划吧！
0000000000000,千奈,さあっ、なにをすれば\nよろしいのでしょうっ！,那么，我该做些什么\n才好呢！
0000000000000,千奈,どんな厳しいレッスンだって\n乗り越えてみせますわ！,再严厉的课程我也\n一定会克服的！
info,adv_pstory_001_kcna_opening-true-02.txt,,
译者,gpt-4o-2024-05-13,,
