id,name,text,trans
0000000000000,{user},お疲れ様でした。葛城さんは……,辛苦了。葛城小姐……
0000000000000,{user},……不合格でした。,……不合格。
0000000000000,リーリヤ,そう……ですか……。,是……吗……。
0000000000000,リーリヤ,……悔しい、です……。\nここまで、来られたのに……,……好不甘心，明明都到这里了……
0000000000000,リーリヤ,あと、少しで、\nライブに、出られたのに……！,就差一点点，\n就能上台表演了……！
select,,諦めますか？,要放弃吗？
select,,悔しそうですね,看起来很不甘心呢
select,,反省会です,要开反省会吗
0000000000000,リーリヤ,……いいえ。,……不。
0000000000000,リーリヤ,何があっても、\n夢は絶対に諦めません。,无论发生什么，\n我的梦想绝对不会放弃。
0000000000000,{user},それは良かったです。ここで終わりに\nするつもりはありませんから。,那就好。因为我也不打算\n在这里结束。
0000000000000,リーリヤ,……ふふ。すみません……。\nちょっと、弱気になっちゃいました。,……呵呵。对不起……。\n刚才有点消沉了。
0000000000000,リーリヤ,……でも、もう平気です。,……但现在已经没事了。
0000000000000,リーリヤ,もう一度、トップを目指すために──\nやるべきことをやります。,为了再次冲击顶峰──\n我会去做该做的事情。
0000000000000,リーリヤ,……センパイ、\nなんで笑ってるんですか？,……前辈，\n你为什么在笑？
0000000000000,{user},弱気だった葛城さんが、\nここまで悔しがるほどになったのかと。,消沉的葛城小姐，\n竟然会这么不甘心。
0000000000000,リーリヤ,だ、だって……\nせっかくここまで来られたのに……。,因、因为……\n好不容易走到这一步了……
0000000000000,リーリヤ,少しは、成長できたと思ったのに……\nあんな酷いパフォーマンスを──,我以为自己稍微成长了一点……\n但却那么糟糕的表演──
0000000000000,{user},葛城さん、\nアイドルに一番必要な才能は？,葛城小姐，\n偶像最需要的才能是什么？
0000000000000,リーリヤ,……強い意志を、持っていること。,……拥有坚定的意志。
0000000000000,リーリヤ,センパイが最初に教えてくれた、\nわたしの、唯一の武器。,这是前辈最初教给我的，\n我唯一的武器。
0000000000000,リーリヤ,もう、大丈夫です。\nわたし、もう一度頑張ってみます。,已经没事了。\n我会再一次努力。
0000000000000,リーリヤ,憧れの――\n素敵なアイドルになるために。,为了成为憧憬的——\n优秀的偶像。
0000000000000,リーリヤ,へ……？,嗯……？
0000000000000,{user},調子が悪い時は誰にでもありますが、\n今回は崩れすぎましたから。,每个人都会有状态不好的时候，\n但这次失误太严重了。
0000000000000,{user},葛城さんの努力が無駄にならないように\nきっちり対策を立てましょう。,为了不辜负葛城小姐的努力，\n我们要好好制定对策。
0000000000000,リーリヤ,……ふふ。はい、そうですね。,……呵呵。是的，说得对。
0000000000000,リーリヤ,……ありがとうございます、センパイ。\nわたしを、諦めないでくれて。,……谢谢你，前辈。\n没有放弃我。
0000000000000,{user},当然です。\nさぁ、切り替えていきますよ。,这是当然的。\n来吧，振作起来。
0000000000000,リーリヤ,……はい！,……好的！
info,adv_pstory_001_kllj_after-audition-final-failure-01.txt,,
译者,gpt-4o-2024-05-13,,
