id,name,text,trans
0000000000000,リーリヤ,おはようございます、センパイ。,早安，前輩。
0000000000000,{user},おはようございます、葛城さん。,早安，葛城小姐。
select,,水分補給も\nお忘れなく,記得\n補充水分喔
select,,わくわく\nしてますね,感覺\n很期待吧
0000000000000,リーリヤ,わっ、ありがとうございます……！,哇，謝謝您……！
0000000000000,リーリヤ,レッスンの内容だけではなく、\n体のケアまで気遣っていただいて……,不僅關心課程內容，\n還顧及到身體護理……
0000000000000,リーリヤ,センパイ……\n本日もよろしくお願いしますっ！,前輩……\n今天也請多多指教！
0000000000000,リーリヤ,……あの、今日はレッスンメニューを\n新しく考えて、みたんです……。,……那個，今天我想\n重新考慮一下課程內容……。
0000000000000,リーリヤ,……もっと成長できる気がして、\n楽しみ、なんです。,覺得自己還可以更進步，\n很期待呢。
0000000000000,リーリヤ,だから、センパイ。\n今日も、よろしくお願いします……！,所以，前輩。\n今天也請多多指教……！
info,adv_pstory_001_kllj_opening-true-01.txt,,
译者,gpt-3.5-turbo-0125,,
