id,name,text,trans
0000000000000,広,………………,………………
0000000000000,{user},篠澤さん、そろそろ出番ですよ。,篠泽小姐，差不多该上场了。
0000000000000,広,………………,………………
0000000000000,{user},し、篠澤さん！？　まさか――,篠、篠泽小姐！？ 不会吧——
0000000000000,広,……大丈夫、死んでない。,……没事，我没死。
0000000000000,広,ギリギリまで体力を温存してただけ。,只是一直在保存体力到最后一刻。
0000000000000,{user},な、なるほど……では、一言だけ。,原、原来如此……那么，就一句话。
select,,自信のほどは？,有信心吗？
select,,失望させないで\nくださいね,请不要让我们失望哦
select,,わくわくして\nいますか？,你兴奋吗？
0000000000000,広,わからない。,不知道。
0000000000000,広,実力が足りないのはわかってる。\n上手くいかない可能性は高いと思う。,我知道自己的实力不够。\n我觉得很有可能不会成功。
0000000000000,広,だけど……,但是……
0000000000000,広,上手くいかなければいい……とは、\n思わない。,我不希望不成功……\n因为那样不好玩。
0000000000000,広,それは、面白くないから。,那样就没意思了。
0000000000000,広,最後まで全力を尽くして、\nそれでも上手くいかなかったとき。,如果我全力以赴到最后，\n即使没有成功。
0000000000000,広,はじめて込み上げてくる気持ちがある。\nそう、信じてる。,那时才会有一种特别的感情涌上心头。\n我相信是这样的。
0000000000000,広,わたしは、それが欲しい。,我想要那种感觉。
0000000000000,広,だから、ね。プロデューサー……\nわたし、がんばってくる。,所以，制作人……\n我会努力的。
0000000000000,広,プロデューサーは、ふしぎ。,制作人真是奇怪。
0000000000000,広,いつも、わたしが、\n欲しい言葉をくれる。,总是能说出我想听的话。
0000000000000,広,……ふふ。,……呵呵。
0000000000000,広,胸が、あったかくなる。,心里感觉暖暖的。
0000000000000,広,見ててね、プロデューサー。,看着我吧，制作人。
0000000000000,広,精一杯、がんばるから。,我会全力以赴的。
0000000000000,広,ふしぎな気持ち。,这种感觉真奇妙。
0000000000000,広,わくわくしてるような……\nドキドキしているような……,好像很兴奋……\n又有点紧张……
0000000000000,広,嬉しいような、怖いような、\n不安なような……,既高兴，又害怕，\n还有些不安……
0000000000000,広,色んなもやもやが、まざってる。,各种情绪交织在一起。
0000000000000,広,今日、これから、\nうまくいっても……失敗しても。,今天，不管是成功……还是失败。
0000000000000,広,この気持ちが、わたしの中で、\n爆発するんだと思う。,这种感觉都会在我心中\n爆发出来。
0000000000000,広,それは、きっと、面白いから。,因为那一定很有趣。
0000000000000,広,……楽しみ。,……真期待。
0000000000000,広,プロデューサー。,制作人。
0000000000000,広,いってきます。,我出发了。
info,adv_pstory_001_shro_before-audition-final-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
