id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏……
0000000000000,{user},不合格でした。,没通过。
0000000000000,清夏,そっか～。ま、しょーがないよね。,这样啊～。嗯，也没办法。
0000000000000,清夏,あたしにしては、\nよくやったと思わない？,不过对我来说，\n已经做得不错了吧？
0000000000000,{user},清夏さん……,清夏……
select,,悔しく\nないですか？,你不觉得\n遗憾吗？
select,,いつでも\n変わりませんね,你总是\n这样吗？
select,,諦めさせませんよ,我不会让你放弃的
0000000000000,清夏,そだね。悔しいかも。,嗯，可能有点遗憾吧。
0000000000000,清夏,でもさ、あたしはレッスン\nサボってたし？,但是，我平时\n也偷懒了嘛？
0000000000000,清夏,悔しがるのも、\nなーんか違うかな～って。,要是遗憾的话，\n总觉得有点不对劲～。
0000000000000,清夏,そー思っただけ！,我只是这么想的！
0000000000000,{user},それなら、次は思いっきり悔しがれる\nように、頑張りましょう。,那下一次就努力到\n让自己能痛痛快快地遗憾吧。
0000000000000,清夏,次って……Pっち、まだやる気？？,下一次……P桑，你还这么有干劲？？
0000000000000,{user},もちろんです。,当然了。
0000000000000,清夏,はぁ？\nほーんと、Pっちって物好きだね～。,哈？\n真是的，P桑你还真是有趣啊～。
0000000000000,清夏,しょーがない！\nもう少しだけ、付き合ってあげる♪,没办法！\n就再陪你一会儿吧♪
0000000000000,清夏,それって、どーゆー意味？,你说的是什么意思？
0000000000000,{user},いつでもフラットで、\n淡々と事実を受け入れている。,你总是很平静地\n接受事实。
0000000000000,清夏,そんなことないけどなー？,也不是那样吧？
0000000000000,清夏,今だって、ホントはけっこー\n悔しいって思ってる。,其实现在也觉得\n蛮遗憾的。
0000000000000,{user},それだけ、アイドルになりたいと\nまだ思ってるということです。,这说明你心里\n还是想当偶像的。
0000000000000,清夏,ウワー、Pっちのドヤ顔じゃん。,哇——，P桑你一脸得意啊。
0000000000000,{user},せっかくです、もう一度くらい\nアイドル目指してみませんか？,既然如此，再挑战一次\n偶像怎么样？
0000000000000,清夏,……そだね。\n次こそは、諦められるかもしれないし。,……好吧。\n说不定下次就能放弃。
0000000000000,清夏,もう少しだけ、Pっちに付き合って\nあげる♪,就再陪你一会儿吧，P桑♪
0000000000000,清夏,あたし、まだなーんにも\n言ってないんですケド～？,我什么都\n还没说呢～
0000000000000,{user},ですが、諦めようって\n言うつもりだったのでは？,不过，你是不是\n打算放弃了？
0000000000000,清夏,今までもずーっと言ってたっしょ？,我一直都这么说的吧？
0000000000000,清夏,それに、試験に落ちて\nキリもいいわけだし～。,而且，这次没通过\n也是个好时机。
0000000000000,清夏,Pっちも、さすがにもう\n愛想が尽きたっしょ。,P桑，你也\n应该厌烦了吧。
0000000000000,{user},むしろ、次こそはと燃えてますよ。,不，反而更有斗志了。
0000000000000,{user},だから、清夏さんが諦めてる暇は\nありません。,所以，清夏你没时间\n放弃。
0000000000000,清夏,……Pっち頑固すぎ。,……P桑真固执。
0000000000000,清夏,わかった。いーよ。,知道了，好吧。
0000000000000,清夏,しつこいPっちのために、\nもうちょっとだけ、諦めないであげる♪,为了你这个执着的P桑，\n我就再坚持一会儿吧♪
info,adv_pstory_001_ssmk_after-audition-final-failure-01.txt,,
译者,gpt-4o-2024-05-13,,
