id,name,text,trans
0000000000000,清夏,あ、Pっち！\n今日も頑張ろーっ！,啊，製作人！\n今天也要加油喔！
select,,調子がいい時こそ\n休息も大切ですよ\n,身體狀況好的時候\n休息也很重要喔
select,,いつもより\n早いですね,比平常\n早到了呢
0000000000000,清夏,やっぱ、Pっちには\n調子いいのわかっちゃう？？,果然，製作人\n看得出我狀況不錯嗎？？
0000000000000,清夏,身体もめっちゃ軽いし\n早くレッスンしたーい！,身體感覺超輕盈的\n想趕快上課啦！
0000000000000,{user},その調子です。\n集中しすぎて水分補給をお忘れなく。,保持這樣的狀態。\n不要太過專注而忘了補充水分。
0000000000000,清夏,Pっち、さんきゅー♪\nこれ飲んで頑張るね！\n,製作人，謝啦♪\n我喝完這個就努力唷！\n
0000000000000,清夏,今さ、コンディションも気分も\n絶好調なんだよね～。,現在呢，狀況和心情\n都超級好的呢～。
0000000000000,清夏,だから、レッスン早くしたくて、\n早めに来ちゃった♪,所以想快點上課，\n提早來了♪
0000000000000,清夏,てことで、プロデュース\nよろしくね、Pっち♪,那麼，培育\n拜託囉，製作人♪
info,adv_pstory_001_ssmk_opening-true-02.txt,,
译者,gpt-3.5-turbo-0125,,
