id,name,text,trans
0000000000000,{user},お疲れ様でした。月村さんは……,辛苦了。月村小姐……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。结果非常好。
0000000000000,手毬,……ありがとう、プロデューサー。,……谢谢，制作人。
0000000000000,手毬,いままでにないくらい、\n強い手ごたえがあった。,感觉从未有过的\n强烈反馈。
0000000000000,手毬,だけど……これで\n満足するわけにはいかない。,但是……不能\n就此满足。
select,,もちろんです,当然
select,,30秒だけ\n時間をください,请给我\n30秒的时间
select,,これを日常に\nしていきましょう,让我们把这变成\n日常
0000000000000,{user},あなたはトップアイドルに\nなるのだから。,因为你会成为顶级偶像。
0000000000000,手毬,うん……！,嗯……！
0000000000000,{user},というわけで、\n手早く反省会を済ませましょう。,那么，\n让我们迅速进行反思会吧。
0000000000000,{user},それが終わったら――,结束之后——
0000000000000,手毬,最高のライブにするために、\n準備をしよう！,为了打造最棒的演唱会，\n做好准备吧！
0000000000000,手毬,プロデューサー……,制作人……
0000000000000,手毬,いま、私……すごく充実してる！,现在，我……感觉非常充实！
0000000000000,手毬,？　いいけど……\nなにをするんですか？,？可以啊……\n你要做什么？
0000000000000,{user},月村さんをたくさん褒めます。,我要好好夸奖月村小姐。
0000000000000,手毬,なっ……,什……
0000000000000,手毬,べ、別にいいです、そんなの！\n時間の無駄です！,不，不用啦，那种事！\n是浪费时间！
0000000000000,{user},そうはいきません。良い成果を\n褒めるのは重要なことです。,那可不行。夸奖好的成果\n是很重要的。
0000000000000,{user},トップアイドルを育てるために。,为了培育顶级偶像。
0000000000000,手毬,その決まり文句を言えば、私が素直に\n言うことを聞くと思ってませんか？,你觉得说这种套话，我就会\n乖乖听话吗？
0000000000000,手毬,はぁ……こんな会話をしている\n時間こそが無駄ですね。,哈……真正浪费时间的\n是这种对话吧。
0000000000000,手毬,…………少しだけ、ですよ。,…………就一点点哦。
0000000000000,手毬,そのつもりです。これから私たちは、\n何度も何度も……,我也是这么想的。从现在开始，我们会\n一次又一次地……
0000000000000,手毬,成功を重ねて、\n上に行くんですから！,累积成功，\n向上攀登！
0000000000000,{user},というわけで、お祝いの時間は\n早々に切り上げましょう。,所以，庆祝的时间\n就早点结束吧。
0000000000000,{user},今日の映像を見せますので、\n本番のライブまでに修正を。,我要放今天的录像，\n在正式演出前进行修改。
0000000000000,手毬,はい！,好的！
0000000000000,手毬,……ふふ。,……呵呵。
0000000000000,手毬,あなたみたいなプロデューサー。\n他のアイドルには嫌われるだろうね。,像你这样的制作人。\n其他偶像可能会讨厌你呢。
0000000000000,手毬,……私は好きだよ。役に立つから。,……但我喜欢你。因为你很有用。
info,adv_pstory_001_ttmr_after-audition-final-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
