id,name,text,trans
0000000000000,{user},お疲れ様でした。月村さんは……,辛苦了。月村小姐……
0000000000000,{user},合格です。素晴らしい結果でしたね。,合格了。真是个了不起的结果呢。
0000000000000,手毬,いいから、1位かどうかだけ聞かせて。,算了，快告诉我是不是第一名。
0000000000000,{user},1位ではありませんでした。,不是第一名。
0000000000000,手毬,……っ。,……唔。
0000000000000,{user},意外でしたか？,很意外吗？
0000000000000,手毬,それは――……,那是——……
0000000000000,手毬,いや、妥当かな。\n今日の私は、1位じゃなかった。,不，应该说是合理吧。\n今天的我，不是第一。
select,,良い結果だと\n思いますが,我觉得是个不错的结果
select,,潔いですね,你真是干脆
select,,相手が悪かった,对手太强了
0000000000000,手毬,1位じゃなきゃ意味ないよ。,不是第一名就没有意义。
0000000000000,{user},いまの実力をはかる\nものさしにはなるでしょう。,这可以作为衡量\n现阶段实力的标尺。
0000000000000,手毬,……なら、意味はあるかもしれないね。\n価値はないけど。,……那么，也许有点意义吧。\n但没有价值。
0000000000000,手毬,ごめん、プロデューサー。\n次はもっと頑張ります。あなたが……,对不起，制作人。\n下次我会更加努力。为了你……
0000000000000,手毬,へたくそな慰めの言葉を、\n口にしなくてすむように。,不必再说那些笨拙的安慰话。
0000000000000,手毬,結果は結果だから。,结果就是结果。
0000000000000,手毬,早く受け入れて、\n切り替えた方が建設的です。,早点接受，然后\n转换心情更有建设性。
0000000000000,手毬,違いますか？,不是吗？
0000000000000,{user},違いません。――が。,没错。——不过。
0000000000000,手毬,なにか？,什么？
0000000000000,{user},いいえ、なんでもありませんよ。,不，没什么。
0000000000000,{user},（悔し涙には、\n気づかなかったことにしよう）,（就当没看到她的\n悔恨的泪水吧）
0000000000000,手毬,そんなことを言われても、\nなんの慰めにもなっていません。,即使你这么说，也一点都不安慰人。
0000000000000,{user},慰めたつもりはありませんよ。,我并没有打算安慰你。
0000000000000,手毬,じゃあ、どんなつもりだったって\n言うんです？,那你是打算说什么呢？
0000000000000,{user},勝てるようになる方法を教えるので、\n少しは言うことを聞いてください。,我会告诉你如何变得能赢，\n请听我说。
0000000000000,手毬,むっ……失礼な。まるで普段の私が、\n問題児みたいじゃないですか。,哼……真失礼。说得好像平时的我\n是个问题儿童一样。
0000000000000,{user},問題児どころじゃないんですが……,你可不只是问题儿童……
0000000000000,手毬,はい！　聞いてあげますから、\n早くしてください！,好吧！我会听的，\n快点说吧！
info,adv_pstory_001_ttmr_after-audition-mid-normal-02.txt,,
译者,gpt-4o-2024-05-13,,
