id,name,text,trans
0000000000000,手毬,プロデューサー、相談があるんだけど。,製作人，我有件事想諮詢你。
0000000000000,手毬,最近、すごく調子がよくて。\nレッスンを増やしてもいい？,最近狀態非常好。\n可以增加一些課程嗎？
select,,こちらも試して\nみてください,你也可以試著\n看看這個
select,,丁度、提案しよう\nと思っていました,我正好也想\n提議這個
0000000000000,手毬,わかりました。,知道了。
0000000000000,手毬,トップアイドルになるために\n役立つのなら、ぜひ。,如果這有助於成為\n頂尖偶像，那就請。
0000000000000,手毬,話を戻すけど、\nレッスンを増やしてもいいですよね？,話說回來，\n增加課程可以嗎？
0000000000000,手毬,さすが私のプロデューサー……\n話がわかるね。,不愧是我的製作人……\n理解我的想法呢。
0000000000000,手毬,もっともっと頑張って……\n新しいスキルを身につけてみせます。,我會更加努力……\n努力學習新技能的。
info,adv_pstory_001_ttmr_opening-true-02.txt,,
译者,gpt-3.5-turbo-0125,,
