id,name,text,trans
0000000000000,プロデューサー,本日はありがとうございました\n引き続き、よろしくお願いいたします,今天非常感谢您\n今后也请多多关照。
0000000000000,ライブハウスのオーナー,いえいえ、こちらこそよろしくお願いいたします\n和泉さんのパフォーマンス、楽しみにしてますよ,不不，我也请多关照\n我期待着和泉的表演。
0000000000000,プロデューサー,…………,…………
2019015020010,愛依,プロデューサーも知ってる\nうちの友達,制作人也知道的\n我的朋友。
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,（愛依の友達に言われたことを、忘れたことはないが\nもう一度、しっかり思い出しておこう）,（虽然我记得爱依的朋友说过的话\n但我要再次好好回想一下）
0000000000000,プロデューサー,（ここだ）,（就是这里）
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,（愛依と一緒に考えて、\n大切に育ててきた『もうひとりの愛依』）,（和爱依一起考虑，\n精心培养的“另一个爱依”）
0000000000000,プロデューサー,（その選択と方針が間違いだったと\n思ったことはないが）,（我从未想过那个选择和方针是错误的\n但也许我应该考虑）
0000000000000,プロデューサー,（快く思わない子がいる可能性も\n考えるべきだったんだよな……）,（我不能有丝毫犹豫。）
0000000000000,プロデューサー,（いや、ダメだ。愛依自身が\n誰より今の自分を誇りに思ってるんだから）,（不，不行。爱依\n她比任何人都为现在的自己感到骄傲。）
0000000000000,プロデューサー,（俺が少しでも迷うことは\n許されない）,（我不能有一丝迷茫。）
2019015020020,愛依,さーなぴー♪\nこのあと暇～？,撒~乃皮♪\n接下来有空吗？
0000000000000,愛依の友人,うん、大丈夫だよ,嗯，没问题。
2019015020030,愛依,じゃあさ～\nちょいファミレス行こ～？,那我们去\n家庭餐厅吧？
2019015020040,愛依,ん～、ごちそうさま～\nパフェ、ちょー美味しかったね～,嗯~吃得好饱~\n冰淇淋超级好吃的~
0000000000000,愛依の友人,うん、人気なだけある,是啊，它很有名。
0000000000000,愛依の友人,それで、何か私に話したいこと\nあるんでしょ？,那么，有什么想和我\n说的吗？
2019015020050,愛依,ちょ、なんでわかっちゃうん！？,哎呀，你怎么知道的！？
0000000000000,愛依の友人,愛依がやたらテンション高く誘う時は\n絶対なんかあるから,爱依这么兴奋地邀请我\n肯定有什么事。
2019015020060,愛依,アハハ～……,啊哈哈~……
0000000000000,愛依の友人,勉強のこと？\nそれとも、仕事のこと？,是学习的事情？\n还是工作的事情？
2019015020070,愛依,……\n仕事の方,……\n是工作的事情。
0000000000000,愛依の友人,これ、チケット？,这是，门票吗？
2019015020080,愛依,……うち、今度\nソロでパフォーマンスするイベントに出るんだ,……我们接下来\n要参加一个个人表演的活动。
0000000000000,愛依の友人,……\nそうなんだ,……\n这样啊。
2019015020090,愛依,うん。うちらって基本ユニット活動がメインだから\n結構レアなんだよね、こういうの,嗯。因为我们主要是进行团队活动\n这样的活动很少见，对吧？
2019015020100,愛依,……ストレイライトじゃない\n『あたし』だけを見てもらえるチャンス,……不是在STRAYLIGHT上\n是“我”一个人被看到的机会。
0000000000000,愛依の友人,…………,…………
2019015020110,愛依,さなぴー、前に言ってくれたよね\n『これからのうちを見て、確かめる』って,撒~乃皮，你之前说过\n“看看未来，确定一下”。
2019015020120,愛依,それ、きっと今だって思うんだ\nだから──,那个，我现在也是这么想的\n所以——
0000000000000,愛依の友人,──ちょっと考えさせてもらっていい？,——让我考虑一下可以吗？
