id,name,text,trans
4901500030010,果穂,プロデューサーさん！\nいつもプロデュースしてくれてありがとうございます！,制作人先生！\n一直以来都谢谢你的培育！
4901500030020,果穂,『こうこうのしたいじぶんにおやはなし』\nって言葉を教えてもらって……っ,『想对高中时的自己说的话』\n这个词是你教我的……
4901500030030,果穂,プロデューサーさんはお父さんじゃないけど、\n今日会ったら言おうって決めてましたー！,虽然制作人先生不是爸爸，\n但我决定今天见面就告诉你！
4901500030040,智代子,プロデューサーさんのお好きなチョコ！　最近見かけ\nなかったですけど、復活してたので買ってきましたよ！,制作人先生喜欢的巧克力！ 最近没见到\n但它又回来了，所以我买来了哦！
4901500030050,智代子,……え？\nなんで食べたいってわかったかって？,……嗯？\n怎么知道我想吃呢？
4901500030060,智代子,ふふ、わかりますよ！\n甘く見ないでください,呵呵，我懂的！\n请不要小看我
4901500030070,樹里,プロデューサーとここでさ……,和制作人在这里……
4901500030080,樹里,たくさん、いろんなこと話してきたよな,我们聊了很多，各种事情
4901500030090,樹里,でも、まだまだ足りないんだ！\nだから、これからもよろしくな、プロデューサー！,但是，还远远不够呢！\n所以，请今后也多多指教，制作人！
4901500030100,凛世,あの日を……はじめて出会ったあの日を……\n思い出しておりました……,那一天……我们第一次相遇的那一天……\n我一直在回忆……
4901500030110,凛世,どれほど月日が経とうとも……\n凛世の思いは……,无论时间过去多久……\n凛世的心意……
4901500030120,凛世,変わらぬどころか……\n増すばかりでございます……,不但没有改变……\n反而越来越强烈……
4901500030130,夏葉,アナタ無しではここまで来れなかったわ\n……あら、大げさなことじゃないのよ,如果没有你，我不可能走到这里\n……哎呀，这不是夸张的
4901500030140,夏葉,アナタが一番期待をしてくれるから、\nさらに頑張ろうと思えるの,因为你最期待我，\n所以我会更加努力
4901500030150,夏葉,これからも思う存分期待して頂戴\n必ず応えてみせるわ！,请尽情期待我吧\n我一定会回应你的！
info,special_communications/490150003.json,,
译者,gpt-4-turbo,,
