KEY,Japanese

common.yes,はい
common.no,いいえ
common.cancel,キャンセル
common.close,閉じる
common.decide, 決定
common.confirm, 確認
common.back, 戻る
common.next, 進む
common.next2, 次へ
common.move, 移動
common.ok,OK
common.execute, 実行
common.finish, 終了
common.buy, 購入
common.slash,{0:N0}/{1:N0}
common.slash.no_comma,{0}/{1}
common.slash.two_line, {0:N0}\n/{1:N0}
common.slash2,{0:N0} / {1:N0}
common.plus,+{0}
common.minus,-{0}
common.plus.sign,+
common.minus.sign,-
common.play,再生する
common.select,選択
common.select.all_on,全選択
common.select.all_off,全解除
common.receive,受取
common.shop, ショップ
common.exchange, 交換所
common.count, ×{0:N0}
common.count.people, {0:N0}人
common.count.point,Pt
common.count.level,Lv{0:N0}
common.count.with_suffix,{0}回
common.idol, アイドル
common.save,保存
common.delete,削除
common.on,ON
common.off,OFF
common.percent,{0}%
common.percent_unit,%
common.hyphen_full,ー
common.ellipses,…
common.tap,TAP
common.recommend,おすすめ
common.skip,スキップ
common.equipped,編成中
common.unset,未設定
common.dot,・
common.target.format,{0}まで
common.seminar,研修
common.maintenance,メンテナンス
common.inquiry, お問い合わせ
common.twitter, 公式X（旧Twitter）
common.portrait,縦画面
common.landscape,横画面
common.10thousand,{0}万
common.100million,{0}億
common.hyphen,-
common.hyphen.middle,<align="center">-
common.name,"{0} {1}"
common.space," "
common.days,{0}日
common.term,{0}〜{1}
common.term2,{0} 〜 {1}

common.link.text, <link="{0}">{1}</link>

common.text.size,<size={0}>{1}</size>

common.sheet.shop_button,ジュエル購入
common.jewel_free_consume,無償ジュエルから先に消費されます。
common.sheet.setting.sub_description,「メニュー＞設定」からいつでも変更できます。

common.dearness.report.disable.toast,対象のコミュをみると解放されます

common.back_key.invalid,その操作は行えません
common.back_key.application_quit.title,アプリ終了
common.back_key.application_quit.description,アプリを終了しますか？
common.back_key.application_quit.button_quit,終了する

// 期限
time.date, {0}/{1} {2}:{3}
time.hour, {0}時間
time.minute, {0}分
time.second, {0}秒
time.hour_minute, {0}時間{1}分
time.hm,{0}:{1}
time.hms, {0}:{1}:{2}
time.ms, {0}:{1}
time.ymd, {0}/{1}/{2}
time.ymdhm,{0}/{1}/{2} {3}:{4}
time.mdhm,{0}/{1} {2}:{3}
limit.day, あと{0}日
limit.hour, あと{0}時間{1}分
limit.minute, あと{0}分
limit.less, あと0分
limit.none,なし
limit.until,{0}まで
limit.use,使用期限

// ログイン経過
last_login.day, {0}日前
last_login.hour, {0}時間前
last_login.minute, {0}分前
last_login.less, 1分以内

// 入力
common.text.length.error,※プロデューサー名はゲーム内で公開されます\n※本名、メールアドレス、電話番号などの個人情報や\n　個人の特定につながる情報は入力しないでください
common.text.empty.error,1文字以上入力してください。
common.text.validate.error,不正な文字が含まれています。

// 通信周り
common.network.noti.title,通知
common.network.retry,リトライ
common.network.error.title,通信エラー
common.network.error.description,通信中にエラーが発生しました。\nエラーコード: {0}
common.network.error.description.has_message,{0}\nエラーコード: {1}
common.network.error.description.no_code,通信中にエラーが発生しました
common.network.error.retry,リトライしますか？
common.network.error.to_title,タイトルへ
common.network.error.to_home,ホームへ
common.network.error.authorization,認証エラー
common.network.error.outdated_app.title,アップデート
common.network.error.outdated_app.description,新しいバージョンがあります\n{0}からアップデートを行ってください
common.network.error.outdated_app.button,ストアへ
common.network.error.outdated_master.title,データ更新
common.network.error.outdated_master.description,データ更新があります。
common.network.error.date_changed.title,日付変更
common.network.error.date_changed.description,日付が変わりました。
common.network.error.ban.release_expected_time,解除予定時刻：{0}
common.network.error.ban.description,お心当たりが無い場合は、お手数ですがサポートまで\nお問い合わせください。
common.network.error.account_ban.title,アカウント制限
common.network.error.account_ban.description,利用規約に違反する行為を行った疑いがあるため、\nアカウントの利用が制限されています。
common.network.error.account_ban.temporary.title,アカウント一時制限
common.network.error.account_ban.temporary.description,利用規約に違反する行為を行った疑いがあるため、\n一時的にアカウントの利用が制限されています。
common.network.error.purchase_ban.title,購入制限
common.network.error.purchase_ban.description,ジュエルの購入が制限されています。
common.network.error.purchase_ban.temporary.title,購入一時制限
common.network.error.purchase_ban,temporary.description,ジュエルの購入が一時的に制限されています。
common.network.error.ban_alert.title,お客様のプレイ状況につきまして
common.network.error.ban_alert.description,利用規約に違反する行為を行った疑いがございます。\n\n▼不正・禁止行為の例\n・外部ツール使用\n・アカウント共有\n・他ユーザーへの迷惑行為\n・ゲーム内不具合を意図的に利用する行為\n・その他法令や利用規約に違反する行為\n\n利用規約を守ってプレイいただきますよう、よろしく\nお願い申し上げます。
common.network.error.toast,通信エラーが発生しました
common.network.error.in_maintenance.title,メンテナンス中
common.network.error.in_maintenance.description,現在メンテナンスを行っております
common.network.error.sign_in_failed,時間をおいてアクセスしてください

// master更新
master.download.error.dialog.description,データの取得に失敗しました

// store
common.store.ios,App Store
common.store.android,Google Play


// 新規ユーザー作成が危険なケースの通知用
check.create.user.alert.title,確認
check.create.user.alert.description,機種変更をした場合は、\nデータ連携をしてアプリの再起動をお願いします。\n\nアプリを再起動してもゲームを開始できない場合は以下よりお問い合わせください。
check.create.user.alert.cancel,閉じる
check.create.user.alert.ok,お問い合わせ

// ダウンロード周り
download.download_all.empty,ダウンロードするデータがありません
download.video.title,動画ダウンロード確認
download.video.confirm,画面設定
download.byte.confirm, 動画容量 : {0}

// マスターダウンロード
master_file_download_confirm_sheet.title,データダウンロード
master_file_download_confirm_sheet.description,追加データをダウンロードします
master_file_download_confirm_sheet.alert,データ容量が50MBを超える場合は\nWi-Fi環境でのダウンロードを推奨します

// Octoダウンロード
octo_file_download_confirm_sheet.title,データダウンロード
octo_file_download_confirm_sheet.title.first,初回ダウンロード
octo_file_download_confirm_sheet.title.all,一括ダウンロード
octo_file_download_confirm_sheet.description,ゲームデータのダウンロードを行います
octo_file_download_confirm_sheet.description.first,初回起動に必要なデータのダウンロードを行います\nダウンロード中は横画面になります
octo_file_download_confirm_sheet.description.all,すべてのゲームデータのダウンロードを行います\nダウンロード完了後、タイトルへ移動します
octo_file_download_confirm_sheet.alert,※Wi-Fi環境でのダウンロードを推奨します
octo_file_download_confirm_sheet.alert.all,"※一括ダウンロードを行うことで、プレイ中の通信量を\n　削減できます\n※WI-FI環境でのダウンロードを推奨します"

// ローディング
loading.progress.description,データダウンロード中
loading.wait.tap,TAPで開始
loading.produce.card.text,PRODUCE CARD
loading.support.card.text,SUPPORT CARD
loading.api.label,CONNECTING
loading.device_rotation.label.horizontal,横画面で映像が流れます
loading.device_rotation.label.vertical,縦画面で映像が流れます
loading.device_rotation.tap_label,TAP TO START
loading.live.description,横画面で開始します
loading.movie.end_confirm_description,動画を終了し、次に進みますか？\n動画はあとから視聴できます
loading.movie.end_confirm,次に進む
loading.produce.text,移動中

// バックグラウンド復帰
resume.confirm.tap,画面タップで再開 

// 共通系の名称
common.card,アイドル
common.character,アイドル
common.memory,メモリー
common.support,サポートカード
common.rental,レンタル
common.map,マップ
common.sns,学園SNS
common.roster,名簿
common.music,ミュージック
common.profile,プロフィール
common.achievement, アチーブメント
common.guild, サークル
common.item,持ち物
common.friend,フレンド
common.costume,着替え
common.money_support,活動支援
common.user_exp,プロデューサーExp
common.jewel,ジュエル
common.jewel_owned, 所持ジュエル
common.jewel_paid_only,有償ジュエル
common.jewel_paid_only_label, 有償
common.jewel_free_only,無償ジュエル
common.jewel_free_only_label, 無償
common.ap,AP
common.money,マニー
common.mission_pass_pt,ミッションパスPt
common.plan,プラン
common.produce_card,スキルカード
common.produce_item,Pアイテム
common.invitation_pt,招待Pt
common.friend_follow_limit_count,フォロー数追加
common.story,コミュ
common.story_event_point,ストーリーイベントPt

// カードパラメーターのラベル
common.vocal,ボーカル
common.dance,ダンス
common.visual,ビジュアル
common.stamina,初期体力
common.stamina.short,体力
common.mental,メンタル
common.assist,アシスト

// 共通系の説明
common.user_exp.description,プロデューサーレベルの上昇に必要な経験値
common.costume.description,{0}の衣装です
common.costume_head.description,{0}の髪型です
common.jewel.description,ガシャなどに使用できるアイテム
common.local_flag.description,次回以降表示しない
common.ap.description,主にプロデュース開始時に使用するポイント
common.mission_pass_pt.description,ミッションパスの報酬を獲得するために必要なポイント
common.invitation_pt.description,友達招待でもらえるポイント
common.friend_follow_limit_count.description,フォロー可能数の上限が増加
common.mission_point.description,ミッションの累計ポイント報酬を獲得するために必要なポイント
common.meishi_base.description,名刺に設定できる背景です
common.story.description,コミュ({0})
common.story_event_point.description,{0}のイベントPt

common.user.level.label,PLv
common.user.level,PLv{0}
common.card.name,[{0}]
common.card.full_name,[{0}]{1}
common.level,Lv{0}
common.dearness,親愛度
common.dearness.level_full,親愛度 Lv{0}
common.dearness.level,Lv{0}
common.dearness.level.icon,Lv
common.card.level,Lv{0}
common.card.rank.default,-
common.skill.level,Lv{0}
common.skill.name_level,{0} Lv{1}
common.step_count,{0}週

// プラン
common.plan1,センス
common.plan2,ロジック
common.plan3,アノマリー
common.common,共通
common.plan_all,フリー

// ステージ適性
common.live_battle_stage.op,OP
common.live_battle_stage.op.name,OP適性
common.live_battle_stage.op.description,OPステージに編成されるとパラメータが強化される
common.live_battle_stage.mid,MID
common.live_battle_stage.mid.name,MID適性
common.live_battle_stage.mid.description,MIDステージに編成されるとパラメータが強化される
common.live_battle_stage.ed,ED
common.live_battle_stage.ed.name,ED適性
common.live_battle_stage.ed.description,EDステージに編成されるとパラメータが強化される

// ライブバトルタイプ
common.live_battle_type.scorer.name,スコアタイプ
common.live_battle_type.scorer.description,主に倍率の高いスコア獲得スキルを持つ
common.live_battle_type.buffer.name,メンタルスキルカードタイプ
common.live_battle_type.supporter.description,主に自分や味方の能力を上昇させるスキルをもつ
common.live_battle_type.supporter.name,サポートタイプ
common.live_battle_type.buffer.description,主に相手の能力を低下させるスキルや気力とメンタルに関わるスキルをもつ

// メニュー
common.menu.button_type.Profile,プロフィール
common.menu.button_type.Friend,フレンド
common.menu.button_type.Meishi,名刺
common.menu.button_type.Guild,サークル
